ID_Anonimo,ID_Real,Tipo,Texto_Requisito,Clasificacion_Experto,Tipo_Mal_Olor,Justificacion,Confianza,Evaluador,Fecha
REQ-05,RF-23,RF,El sistema deberá emitir una alerta cuando se intente registrar una interacción o solicitud de cruza entre mascotas que presenten una disparidad de tamaño significativa o una enfermedad contagiosa activa registrada en el historial médico.,Ambiguo,Cuantificador vago,"Se observa que no se define el umbral de una «disparidad de tamaño significativa», por lo que la activación de la alerta puede variar.",4,Experto 2,28/07/2026
REQ-05,RF-23,RF,El sistema deberá emitir una alerta cuando se intente registrar una interacción o solicitud de cruza entre mascotas que presenten una disparidad de tamaño significativa o una enfermedad contagiosa activa registrada en el historial médico.,Ambiguo,Cuantificador vago,"La redacción presenta ambigüedad porque no se define el umbral de una «disparidad de tamaño significativa», por lo que la activación de la alerta puede variar.",4,Experto 3,28/07/2026
REQ-06,RF-14,RF,"El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.",No ambiguo,Ninguno,"La función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 1,28/07/2026
REQ-06,RF-14,RF,"El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.",No ambiguo,Ninguno,"Considero que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 2,28/07/2026
REQ-06,RF-14,RF,"El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.",No ambiguo,Ninguno,"Se identifica que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 3,28/07/2026
REQ-07,RF-17,RF,"El sistema deberá utilizar un componente de inteligencia artificial para validar las imágenes cargadas por los usuarios, verificando que correspondan al tipo de contenido esperado y rechazando aquellas que sean inapropiadas o no cumplan con los criterios establecidos.",Ambiguo,Cuantificador vago,"Los términos «contenido esperado», «inapropiadas» y «criterios establecidos» carecen de reglas o umbrales explícitos.",4,Experto 1,28/07/2026
REQ-07,RF-17,RF,"El sistema deberá utilizar un componente de inteligencia artificial para validar las imágenes cargadas por los usuarios, verificando que correspondan al tipo de contenido esperado y rechazando aquellas que sean inapropiadas o no cumplan con los criterios establecidos.",Ambiguo,Cuantificador vago,"Se observa que los términos «contenido esperado», «inapropiadas» y «criterios establecidos» carecen de reglas o umbrales explícitos.",4,Experto 2,28/07/2026
REQ-07,RF-17,RF,"El sistema deberá utilizar un componente de inteligencia artificial para validar las imágenes cargadas por los usuarios, verificando que correspondan al tipo de contenido esperado y rechazando aquellas que sean inapropiadas o no cumplan con los criterios establecidos.",Ambiguo,Cuantificador vago,"La redacción presenta ambigüedad porque los términos «contenido esperado», «inapropiadas» y «criterios establecidos» carecen de reglas o umbrales explícitos.",4,Experto 3,28/07/2026
REQ-08,RD-02,RD,"El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.",Ambiguo,Requisito no verificable / incompleto,"Enumera roles, pero no define la matriz de permisos o las operaciones permitidas y prohibidas para cada uno.",4,Experto 1,28/07/2026
REQ-08,RD-02,RD,"El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.",No ambiguo,Ninguno,Considero que define el uso obligatorio de control de acceso basado en roles y los perfiles que deben diferenciarse.,3,Experto 2,28/07/2026
REQ-08,RD-02,RD,"El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.",Ambiguo,Requisito no verificable / incompleto,"La redacción presenta ambigüedad porque enumera roles, pero no define la matriz de permisos o las operaciones permitidas y prohibidas para cada uno.",4,Experto 3,28/07/2026
REQ-09,RNF-06,RNF,El componente de inteligencia artificial deberá generar recomendaciones de compatibilidad para procesos de cruza con una coincidencia mínima del 85 % respecto a las evaluaciones realizadas por médicos veterinarios durante las pruebas de validación.,Ambiguo,Terminología imprecisa,La «coincidencia mínima del 85 %» no especifica la métrica estadística ni cómo se resolverán desacuerdos entre veterinarios.,4,Experto 1,28/07/2026
REQ-09,RNF-06,RNF,El componente de inteligencia artificial deberá generar recomendaciones de compatibilidad para procesos de cruza con una coincidencia mínima del 85 % respecto a las evaluaciones realizadas por médicos veterinarios durante las pruebas de validación.,Ambiguo,Terminología imprecisa,Se observa que la «coincidencia mínima del 85 %» no especifica la métrica estadística ni cómo se resolverán desacuerdos entre veterinarios.,4,Experto 2,28/07/2026
REQ-09,RNF-06,RNF,El componente de inteligencia artificial deberá generar recomendaciones de compatibilidad para procesos de cruza con una coincidencia mínima del 85 % respecto a las evaluaciones realizadas por médicos veterinarios durante las pruebas de validación.,Ambiguo,Terminología imprecisa,La redacción presenta ambigüedad porque la «coincidencia mínima del 85 %» no especifica la métrica estadística ni cómo se resolverán desacuerdos entre veterinarios.,4,Experto 3,28/07/2026
REQ-10,RF-05,RF,"El sistema deberá permitir que un usuario interesado envíe solicitudes de adopción, incluyendo su fotografía de perfil, y que el propietario pueda aceptarlas o rechazarlas después de revisar la información del solicitante.",Ambiguo,Conjunción múltiple,"Integra el envío, la revisión y la aceptación o rechazo de la solicitud en un solo requisito, aunque son comportamientos verificables distintos.",4,Experto 1,28/07/2026
REQ-10,RF-05,RF,"El sistema deberá permitir que un usuario interesado envíe solicitudes de adopción, incluyendo su fotografía de perfil, y que el propietario pueda aceptarlas o rechazarlas después de revisar la información del solicitante.",Ambiguo,Conjunción múltiple,"Se observa que integra el envío, la revisión y la aceptación o rechazo de la solicitud en un solo requisito, aunque son comportamientos verificables distintos.",4,Experto 2,28/07/2026
REQ-10,RF-05,RF,"El sistema deberá permitir que un usuario interesado envíe solicitudes de adopción, incluyendo su fotografía de perfil, y que el propietario pueda aceptarlas o rechazarlas después de revisar la información del solicitante.",Ambiguo,Conjunción múltiple,"La redacción presenta ambigüedad porque integra el envío, la revisión y la aceptación o rechazo de la solicitud en un solo requisito, aunque son comportamientos verificables distintos.",4,Experto 3,28/07/2026
REQ-11,RNF-03,RNF,"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes.",No ambiguo,Ninguno,"Incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 1,28/07/2026
REQ-11,RNF-03,RNF,"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes.",No ambiguo,Ninguno,"Considero que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 2,28/07/2026
REQ-11,RNF-03,RNF,"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes.",No ambiguo,Ninguno,"Se identifica que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 3,28/07/2026
REQ-12,RF-20,RF,"El sistema deberá permitir a los propietarios coordinar encuentros presenciales entre mascotas y sus dueños en espacios públicos, con fines de socialización previa a procesos de adopción o cruza.",No ambiguo,Ninguno,"Define la función de coordinación, sus participantes, el contexto presencial y la finalidad del encuentro.",5,Experto 1,28/07/2026
REQ-12,RF-20,RF,"El sistema deberá permitir a los propietarios coordinar encuentros presenciales entre mascotas y sus dueños en espacios públicos, con fines de socialización previa a procesos de adopción o cruza.",No ambiguo,Ninguno,"Considero que define la función de coordinación, sus participantes, el contexto presencial y la finalidad del encuentro.",5,Experto 2,28/07/2026
REQ-12,RF-20,RF,"El sistema deberá permitir a los propietarios coordinar encuentros presenciales entre mascotas y sus dueños en espacios públicos, con fines de socialización previa a procesos de adopción o cruza.",No ambiguo,Ninguno,"Se identifica que define la función de coordinación, sus participantes, el contexto presencial y la finalidad del encuentro.",5,Experto 3,28/07/2026
REQ-13,RF-02,RF,"El sistema deberá permitir registrar y actualizar el historial médico de una mascota, incluyendo vacunas (con su cepa/marca y profesional aplicador), desparasitaciones, enfermedades, alergias, cirugías, tratamientos y controles veterinarios.",Ambiguo,Conjunción múltiple,"Combina el registro y la actualización del historial, además de varios tipos de antecedentes, lo que dificulta verificar cada comportamiento por separado.",3,Experto 1,28/07/2026
REQ-13,RF-02,RF,"El sistema deberá permitir registrar y actualizar el historial médico de una mascota, incluyendo vacunas (con su cepa/marca y profesional aplicador), desparasitaciones, enfermedades, alergias, cirugías, tratamientos y controles veterinarios.",No ambiguo,Ninguno,"Considero que aunque reúne registrar y actualizar, ambas operaciones pertenecen al mismo historial y los datos incluidos están enumerados.",4,Experto 2,28/07/2026
REQ-13,RF-02,RF,"El sistema deberá permitir registrar y actualizar el historial médico de una mascota, incluyendo vacunas (con su cepa/marca y profesional aplicador), desparasitaciones, enfermedades, alergias, cirugías, tratamientos y controles veterinarios.",No ambiguo,Ninguno,"Se identifica que aunque reúne registrar y actualizar, ambas operaciones pertenecen al mismo historial y los datos incluidos están enumerados.",4,Experto 3,28/07/2026
REQ-14,RD-06,RD,"El sistema deberá permitir que el propietario solicite la eliminación de su cuenta y de los datos personales asociados, ejecutando la supresión (o anonimización cuando exista obligación legal de conservación) dentro de un plazo definido.",Ambiguo,Cuantificador vago,La expresión «dentro de un plazo definido» no establece el número de días para ejecutar la supresión o anonimización.,4,Experto 1,28/07/2026
REQ-14,RD-06,RD,"El sistema deberá permitir que el propietario solicite la eliminación de su cuenta y de los datos personales asociados, ejecutando la supresión (o anonimización cuando exista obligación legal de conservación) dentro de un plazo definido.",Ambiguo,Cuantificador vago,Se observa que la expresión «dentro de un plazo definido» no establece el número de días para ejecutar la supresión o anonimización.,4,Experto 2,28/07/2026
REQ-14,RD-06,RD,"El sistema deberá permitir que el propietario solicite la eliminación de su cuenta y de los datos personales asociados, ejecutando la supresión (o anonimización cuando exista obligación legal de conservación) dentro de un plazo definido.",Ambiguo,Cuantificador vago,La redacción presenta ambigüedad porque la expresión «dentro de un plazo definido» no establece el número de días para ejecutar la supresión o anonimización.,4,Experto 3,28/07/2026
REQ-15,RF-18,RF,"El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.",No ambiguo,Ninguno,"La función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 1,28/07/2026
REQ-15,RF-18,RF,"El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.",No ambiguo,Ninguno,"Considero que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 2,28/07/2026
REQ-15,RF-18,RF,"El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.",No ambiguo,Ninguno,"Se identifica que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 3,28/07/2026
REQ-16,RF-03,RF,"El sistema deberá permitir visualizar el perfil completo de una mascota mostrando su información general, historial médico autorizado, fotografías, comportamiento, vacunas, edad, raza para procesos de adopción o cruza.",Ambiguo,Cuantificador vago,La expresión «perfil completo» no delimita con precisión qué campos deben mostrarse para cada rol o proceso.,4,Experto 1,28/07/2026
REQ-16,RF-03,RF,"El sistema deberá permitir visualizar el perfil completo de una mascota mostrando su información general, historial médico autorizado, fotografías, comportamiento, vacunas, edad, raza para procesos de adopción o cruza.",Ambiguo,Cuantificador vago,Se observa que la expresión «perfil completo» no delimita con precisión qué campos deben mostrarse para cada rol o proceso.,4,Experto 2,28/07/2026
REQ-16,RF-03,RF,"El sistema deberá permitir visualizar el perfil completo de una mascota mostrando su información general, historial médico autorizado, fotografías, comportamiento, vacunas, edad, raza para procesos de adopción o cruza.",Ambiguo,Cuantificador vago,La redacción presenta ambigüedad porque la expresión «perfil completo» no delimita con precisión qué campos deben mostrarse para cada rol o proceso.,4,Experto 3,28/07/2026
REQ-17,RD-08,RD,"El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.",No ambiguo,Ninguno,"La restricción técnica u organizativa establece un mecanismo, tecnología o condición concreta aplicable al diseño.",5,Experto 1,28/07/2026
REQ-17,RD-08,RD,"El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.",No ambiguo,Ninguno,"Considero que la restricción técnica u organizativa establece un mecanismo, tecnología o condición concreta aplicable al diseño.",5,Experto 2,28/07/2026
REQ-17,RD-08,RD,"El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.",No ambiguo,Ninguno,"Se identifica que la restricción técnica u organizativa establece un mecanismo, tecnología o condición concreta aplicable al diseño.",5,Experto 3,28/07/2026
REQ-18,RF-19,RF,El sistema deberá permitir adjuntar certificados veterinarios de ambas mascotas y que una veterinaria registrada los valide antes de habilitar la opción de cruza.,No ambiguo,Ninguno,"La función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 1,28/07/2026
REQ-18,RF-19,RF,El sistema deberá permitir adjuntar certificados veterinarios de ambas mascotas y que una veterinaria registrada los valide antes de habilitar la opción de cruza.,No ambiguo,Ninguno,"Considero que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 2,28/07/2026
REQ-18,RF-19,RF,El sistema deberá permitir adjuntar certificados veterinarios de ambas mascotas y que una veterinaria registrada los valide antes de habilitar la opción de cruza.,No ambiguo,Ninguno,"Se identifica que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 3,28/07/2026
REQ-19,RF-12,RF,El sistema deberá permitir verificar la identidad de los usuarios mediante el registro y validación de la información requerida antes de participar en procesos de adopción o cruza.,Ambiguo,Requisito no verificable / incompleto,La frase «información requerida» no identifica los datos o documentos concretos necesarios para considerar verificada la identidad.,4,Experto 1,28/07/2026
REQ-19,RF-12,RF,El sistema deberá permitir verificar la identidad de los usuarios mediante el registro y validación de la información requerida antes de participar en procesos de adopción o cruza.,Ambiguo,Requisito no verificable / incompleto,Se observa que la frase «información requerida» no identifica los datos o documentos concretos necesarios para considerar verificada la identidad.,4,Experto 2,28/07/2026
REQ-19,RF-12,RF,El sistema deberá permitir verificar la identidad de los usuarios mediante el registro y validación de la información requerida antes de participar en procesos de adopción o cruza.,Ambiguo,Requisito no verificable / incompleto,La redacción presenta ambigüedad porque la frase «información requerida» no identifica los datos o documentos concretos necesarios para considerar verificada la identidad.,4,Experto 3,28/07/2026
REQ-20,RF-09,RF,"El sistema deberá permitir que una veterinaria autorizada valide la información médica registrada de una mascota, indicando que los datos han sido verificados por un profesional.",Ambiguo,Terminología imprecisa,"El verbo «validar» puede significar revisión documental, certificación profesional o confirmación clínica, sin delimitar su alcance.",4,Experto 1,28/07/2026
REQ-20,RF-09,RF,"El sistema deberá permitir que una veterinaria autorizada valide la información médica registrada de una mascota, indicando que los datos han sido verificados por un profesional.",Ambiguo,Terminología imprecisa,"Se observa que verbo «validar» puede significar revisión documental, certificación profesional o confirmación clínica, sin delimitar su alcance.",4,Experto 2,28/07/2026
REQ-20,RF-09,RF,"El sistema deberá permitir que una veterinaria autorizada valide la información médica registrada de una mascota, indicando que los datos han sido verificados por un profesional.",Ambiguo,Terminología imprecisa,"La redacción presenta ambigüedad porque el verbo «validar» puede significar revisión documental, certificación profesional o confirmación clínica, sin delimitar su alcance.",4,Experto 3,28/07/2026
REQ-21,RF-13,RF,"El sistema deberá permitir al propietario publicar una mascota indicando si estará disponible para adopción, cruza o ambas opciones, incluyendo toda la información autorizada del perfil de la mascota.",Ambiguo,Cuantificador vago,La expresión «toda la información autorizada» no define el conjunto mínimo de campos que debe incluir cada publicación.,4,Experto 1,28/07/2026
REQ-21,RF-13,RF,"El sistema deberá permitir al propietario publicar una mascota indicando si estará disponible para adopción, cruza o ambas opciones, incluyendo toda la información autorizada del perfil de la mascota.",Ambiguo,Cuantificador vago,Se observa que la expresión «toda la información autorizada» no define el conjunto mínimo de campos que debe incluir cada publicación.,4,Experto 2,28/07/2026
REQ-21,RF-13,RF,"El sistema deberá permitir al propietario publicar una mascota indicando si estará disponible para adopción, cruza o ambas opciones, incluyendo toda la información autorizada del perfil de la mascota.",Ambiguo,Cuantificador vago,La redacción presenta ambigüedad porque la expresión «toda la información autorizada» no define el conjunto mínimo de campos que debe incluir cada publicación.,4,Experto 3,28/07/2026
REQ-22,RD-04,RD,"El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).",Ambiguo,Requisito no verificable / incompleto,Los principios de protección desde el diseño y por defecto son amplios y no se traducen en controles verificables concretos.,4,Experto 1,28/07/2026
REQ-22,RD-04,RD,"El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).",Ambiguo,Requisito no verificable / incompleto,Se observa que los principios de protección desde el diseño y por defecto son amplios y no se traducen en controles verificables concretos.,4,Experto 2,28/07/2026
REQ-22,RD-04,RD,"El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).",Ambiguo,Requisito no verificable / incompleto,La redacción presenta ambigüedad porque los principios de protección desde el diseño y por defecto son amplios y no se traducen en controles verificables concretos.,4,Experto 3,28/07/2026
REQ-23,RF-11,RF,"El sistema deberá permitir que el propietario determine qué información de su mascota y de su perfil podrá ser visualizada por otros usuarios, protegiendo los datos considerados sensibles (ubicación, datos de contacto y afecciones específicas).",No ambiguo,Ninguno,Identifica al propietario como responsable de configurar la visibilidad y enumera los principales datos sensibles que deben protegerse.,4,Experto 1,28/07/2026
REQ-23,RF-11,RF,"El sistema deberá permitir que el propietario determine qué información de su mascota y de su perfil podrá ser visualizada por otros usuarios, protegiendo los datos considerados sensibles (ubicación, datos de contacto y afecciones específicas).",No ambiguo,Ninguno,Considero que identifica al propietario como responsable de configurar la visibilidad y enumera los principales datos sensibles que deben protegerse.,4,Experto 2,28/07/2026
REQ-23,RF-11,RF,"El sistema deberá permitir que el propietario determine qué información de su mascota y de su perfil podrá ser visualizada por otros usuarios, protegiendo los datos considerados sensibles (ubicación, datos de contacto y afecciones específicas).",Ambiguo,Terminología imprecisa,La redacción presenta ambigüedad porque no precisa qué se entiende por «afecciones específicas» ni las reglas exactas de visibilidad para cada tipo de usuario.,3,Experto 3,28/07/2026
REQ-24,RNF-01,RNF,"El sistema deberá impedir el acceso no autorizado a la información personal de los propietarios y al historial médico de las mascotas, garantizando que durante las pruebas de seguridad no se produzcan accesos exitosos por parte de usuarios sin los permisos correspondientes.",No ambiguo,Ninguno,"Incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 1,28/07/2026
REQ-24,RNF-01,RNF,"El sistema deberá impedir el acceso no autorizado a la información personal de los propietarios y al historial médico de las mascotas, garantizando que durante las pruebas de seguridad no se produzcan accesos exitosos por parte de usuarios sin los permisos correspondientes.",No ambiguo,Ninguno,"Considero que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 2,28/07/2026
REQ-24,RNF-01,RNF,"El sistema deberá impedir el acceso no autorizado a la información personal de los propietarios y al historial médico de las mascotas, garantizando que durante las pruebas de seguridad no se produzcan accesos exitosos por parte de usuarios sin los permisos correspondientes.",No ambiguo,Ninguno,"Se identifica que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 3,28/07/2026
REQ-25,RNF-10,RNF,"El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.",No ambiguo,Ninguno,"Incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 1,28/07/2026
REQ-25,RNF-10,RNF,"El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.",No ambiguo,Ninguno,"Considero que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 2,28/07/2026
REQ-25,RNF-10,RNF,"El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.",No ambiguo,Ninguno,"Se identifica que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 3,28/07/2026
REQ-26,RF-22,RF,"El sistema deberá permitir mantener un contacto periódico entre adoptante y propietario original tras completarse una adopción, registrando un compromiso firmado y el estado del seguimiento.",Ambiguo,Cuantificador vago,"La expresión «contacto periódico» no establece frecuencia, duración ni eventos mínimos del seguimiento post-adopción.",4,Experto 1,28/07/2026
REQ-26,RF-22,RF,"El sistema deberá permitir mantener un contacto periódico entre adoptante y propietario original tras completarse una adopción, registrando un compromiso firmado y el estado del seguimiento.",Ambiguo,Cuantificador vago,"Se observa que la expresión «contacto periódico» no establece frecuencia, duración ni eventos mínimos del seguimiento post-adopción.",4,Experto 2,28/07/2026
REQ-26,RF-22,RF,"El sistema deberá permitir mantener un contacto periódico entre adoptante y propietario original tras completarse una adopción, registrando un compromiso firmado y el estado del seguimiento.",Ambiguo,Cuantificador vago,"La redacción presenta ambigüedad porque la expresión «contacto periódico» no establece frecuencia, duración ni eventos mínimos del seguimiento post-adopción.",4,Experto 3,28/07/2026
REQ-27,RNF-09,RNF,"El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos (RF-10), garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo.",No ambiguo,Ninguno,"La integración, el canal y la condición de no duplicación ni pérdida están expresados y pueden verificarse mediante pruebas de envío.",4,Experto 1,28/07/2026
