ID_Anonimo,Clasificacion_Detector,Reglas_Activadas,Texto_Requisito
REQ-15,No ambiguo,Ninguna regla activada,El sistema deberá permitir registrar y consultar el número de microchip de identificación de una mascota como parte de su perfil.
REQ-16,No ambiguo,Ninguna regla activada,"El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia."
REQ-17,No ambiguo,Ninguna regla activada,"El sistema deberá emitir una alerta cuando se intente registrar una interacción o solicitud de cruza entre mascotas que presenten una diferencia de peso corporal registrado superior al 40 % entre ambas, o cuando alguna tenga una enfermedad contagiosa activa registrada en su historial médico."
REQ-18,No ambiguo,Ninguna regla activada,"El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP)."
REQ-19,No ambiguo,Ninguna regla activada,"El tratamiento de datos personales del propietario debe basarse en un consentimiento libre, específico, informado e inequívoco, revocable en cualquier momento."
REQ-20,No ambiguo,Ninguna regla activada,"El sistema deberá permitir registrar el historial médico de una mascota, incluyendo desparasitaciones, enfermedades, alergias, cirugías, tratamientos y controles veterinarios."
REQ-21,Ambiguo,Restricción de diseño incompleta,"El sistema deberá permitir que el propietario solicite la eliminación de su cuenta y de los datos personales asociados, ejecutando la supresión (o anonimización cuando exista obligación legal de conservación) dentro de un plazo definido."
REQ-22,No ambiguo,Ninguna regla activada,"El sistema deberá clasificar correctamente, mediante su componente de inteligencia artificial, al menos el 95 % de las imágenes cargadas como válidas o inválidas según el tipo de fotografía esperado."
REQ-23,No ambiguo,Ninguna regla activada,"El sistema deberá permitir que un usuario interesado envíe una solicitud de adopción, incluyendo su fotografía de perfil, y que el propietario la acepte o rechace en una primera revisión, con base en la información del solicitante."
REQ-24,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá permitir que el propietario determine qué información de su mascota y de su perfil podrá ser visualizada por otros usuarios, protegiendo los datos considerados sensibles (ubicación, datos de contacto y afecciones específicas)."
REQ-25,No ambiguo,Ninguna regla activada,"Cuando una imagen sea rechazada por el componente de inteligencia artificial, el sistema deberá informar el motivo específico (contenido inapropiado, imagen borrosa, tipo de fotografía incorrecto) mediante una explicación por contraste, en un máximo de 30 palabras."
REQ-26,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá permitir que una veterinaria autorizada valide la información médica registrada de una mascota, indicando que los datos han sido verificados por un profesional."
REQ-27,No ambiguo,Ninguna regla activada,"El sistema deberá permitir buscar mascotas aplicando filtros como especie, raza, edad, ubicación, estado de salud, tamaño, temperamento y disponibilidad para adopción o cruza."
REQ-28,No ambiguo,Ninguna regla activada,"El titular tiene derecho a la rectificación y actualización de sus datos inexactos o incompletos, en un plazo de 15 días."
REQ-29,No ambiguo,Ninguna regla activada,"El sistema deberá permitir registrar, además de la fecha, la cepa o marca del biológico y el profesional que aplicó cada vacuna dentro del carnet de vacunación."
REQ-30,No ambiguo,Ninguna regla activada,"El sistema deberá mantenerse disponible para los usuarios con una disponibilidad mínima del 99 % mensual, permitiendo el acceso continuo a sus funcionalidades durante la operación normal de la plataforma. Este criterio aplica exclusivamente al entorno de producción con backend desplegado; no es exigible ni medible sobre el MVP local descrito en la Sección 6.1, al no operar este último en un ambiente de uso continuo que permita demostrar disponibilidad mensual."
REQ-31,Ambiguo,Restricción de diseño incompleta,El sistema deberá permitir que la validación de la información médica sea realizada únicamente por veterinarias autorizadas.
REQ-32,No ambiguo,Ninguna regla activada,"El sistema deberá permitir al propietario registrar una mascota ingresando su información general, incluyendo nombre, especie, raza, sexo, edad, estado reproductivo y fotografías para su identificación dentro de la plataforma."
REQ-33,Ambiguo,Restricción de diseño incompleta,"El sistema deberá organizarse en módulos independientes para facilitar el mantenimiento y la incorporación de nuevas funcionalidades, como componentes de inteligencia artificial o nuevos procesos relacionados con mascotas."
REQ-34,No ambiguo,Ninguna regla activada,"El sistema deberá permitir al propietario publicar una mascota indicando si estará disponible para adopción, cruza o ambas opciones, incluyendo toda la información autorizada del perfil de la mascota."
REQ-35,No ambiguo,Ninguna regla activada,El sistema deberá incorporar componentes de inteligencia artificial para la evaluación de compatibilidad entre mascotas y la validación de imágenes cargadas por los usuarios.
REQ-36,No ambiguo,Ninguna regla activada,El sistema deberá permitir adjuntar certificados veterinarios de ambas mascotas y que una veterinaria registrada los valide antes de habilitar la opción de cruza.
REQ-37,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá permitir registrar y consultar los antecedentes genéticos y el grado de parentesco de una mascota, incluyendo información sobre enfermedades hereditarias y linaje para apoyar los procesos de cruza responsable y la evaluación de compatibilidad."
REQ-38,No ambiguo,Ninguna regla activada,"El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa."
REQ-39,No ambiguo,Ninguna regla activada,"El equipo del proyecto deberá anonimizar o seudonimizar las transcripciones, videos y respuestas de cuestionario antes de incluirlas en el conjunto de datos abierto (Zenodo/OSF), removiendo identificadores directos del propietario."
REQ-40,No ambiguo,Ninguna regla activada,"El sistema deberá permitir visualizar el perfil completo de una mascota mostrando su información general, historial médico autorizado, fotografías, comportamiento, vacunas, edad, raza para procesos de adopción o cruza."
REQ-41,No ambiguo,Ninguna regla activada,"El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización."
REQ-42,No ambiguo,Ninguna regla activada,El sistema deberá permitir que los propietarios soliciten procesos de cruza entre mascotas y que el propietario de la otra mascota pueda aceptar o rechazar la solicitud con base en la información disponible.
REQ-43,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá permitir mantener un contacto periódico entre adoptante y propietario original tras completarse una adopción, registrando un compromiso firmado y el estado del seguimiento."
REQ-44,No ambiguo,Ninguna regla activada,"El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor."
REQ-45,No ambiguo,Ninguna regla activada,El titular tiene derecho a solicitar la eliminación de sus datos personales cuando revoque el consentimiento o estos ya no sean necesarios.
REQ-46,Ambiguo,Cuantificador vago / umbral insuficiente,"El sistema deberá soportar el incremento de usuarios concurrentes sin degradar significativamente el tiempo de respuesta definido en RNF-03, permitiendo escalar horizontalmente los servidores de aplicación."
REQ-47,No ambiguo,Ninguna regla activada,"El sistema deberá garantizar que únicamente los usuarios autorizados puedan modificar el historial médico de una mascota, evitando que durante las pruebas se produzcan modificaciones no autorizadas."
REQ-48,No ambiguo,Ninguna regla activada,"El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores."
REQ-49,No ambiguo,Ninguna regla activada,"El sistema deberá presentar, junto con el resultado de compatibilidad para cruza, una explicación causal de los factores que influyeron en el resultado (raza, edad, estado de salud, antecedentes genéticos), en un máximo de 60 palabras y con un tiempo de generación no mayor a 2 segundos."
REQ-50,Ambiguo,Terminología normativa imprecisa,Los datos deben limitarse a lo estrictamente necesario para la finalidad (minimización) y protegerse frente a accesos no autorizados (seguridad).
REQ-51,No ambiguo,Ninguna regla activada,"El sistema deberá ocultar por defecto la ubicación exacta y los datos de contacto directo del propietario, mostrando únicamente una zona aproximada (radio ≥ 1 km) a usuarios no autorizados, en cumplimiento del principio de minimización de la LOPDP."
REQ-52,No ambiguo,Ninguna regla activada,"El sistema deberá permitir la comunicación entre propietarios e interesados mediante mensajes para coordinar procesos de adopción y cruza, incluyendo la posibilidad de que el usuario reporte un mensaje o interacción como spam, lenguaje ofensivo o intento de acuerdo externo indebido, registrando el motivo del reporte asociado a la conversación."
REQ-53,Ambiguo,Cuantificador vago / umbral insuficiente,"El sistema deberá permitir que al menos el 90 % de los usuarios completen las tareas principales (registrar una mascota, consultar su información y enviar solicitudes de adopción o cruza) sin necesidad de capacitación previa, y alcanzar una puntuación media ≥ 80/100 en la escala System Usability Scale (SUS)."
REQ-54,No ambiguo,Ninguna regla activada,"El sistema deberá generar, mediante su componente de inteligencia artificial, recomendaciones de compatibilidad para procesos de cruza con una coincidencia mínima del 85 % respecto a las evaluaciones realizadas por médicos veterinarios durante las pruebas de validación."
REQ-55,No ambiguo,Ninguna regla activada,"El sistema deberá entregar al propietario, con una semana y un día de anticipación, un recordatorio sobre próximas vacunas, desparasitaciones y controles veterinarios de la mascota, utilizando WhatsApp como canal principal y el canal de notificación in-app como respaldo automático cuando el proveedor externo no esté disponible"
REQ-56,No ambiguo,Ninguna regla activada,"El sistema deberá permitir que una segunda veterinaria autorizada revise y confirme o cuestione la validación de la información médica de una mascota realizada previamente por otra veterinaria, dejando constancia de ambas validaciones dentro del historial médico."
REQ-57,No ambiguo,Ninguna regla activada,El sistema deberá registrar la cantidad de procesos de cruza completados por cada mascota y emitir una alerta al propietario y al interesado cuando una misma mascota supere dos procesos de cruza completados dentro de un periodo de seis meses.
REQ-58,Ambiguo,Terminología normativa imprecisa,El titular tiene derecho a no ser objeto de una decisión basada únicamente en valoraciones automatizadas sin recibir una explicación motivada sobre ella.
REQ-59,Ambiguo,Terminología normativa imprecisa,Los datos sensibles y los datos de salud del propietario requieren consentimiento explícito y confidencialidad reforzada; el historial clínico de la mascota se protege como extensión indirecta de esos datos.
REQ-60,Ambiguo,Terminología normativa imprecisa,"El sistema debe implementar protección de datos desde el diseño y por defecto, tratando solo los datos estrictamente necesarios para cada finalidad."
REQ-61,No ambiguo,Ninguna regla activada,"Ante una vulneración de seguridad que afecte derechos del titular, debe notificarse a la Autoridad de Protección de Datos en máximo 5 días y al titular afectado en máximo 3 días."
