ID_Anonimo;ID_Real;Tipo;Texto_Requisito;Experto 1;Experto 2;Experto 3;Consenso_experto;Nivel_acuerdo;Clasificacion_detector;Reglas_detector;Coincide
REQ-11;RNF-03;RNF;El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-12;RF-20;RF;El sistema deberá permitir a los propietarios coordinar encuentros presenciales entre mascotas y sus dueños en espacios públicos, con fines de socialización previa a procesos de adopción o cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-13;RF-02;RF;El sistema deberá permitir registrar y actualizar el historial médico de una mascota, incluyendo vacunas (con su cepa/marca y profesional aplicador), desparasitaciones, enfermedades, alergias, cirugías, tratamientos y controles veterinarios.;Ambiguo;No ambiguo;No ambiguo;No ambiguo;2/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-14;RD-06;RD;El sistema deberá permitir que el propietario solicite la eliminación de su cuenta y de los datos personales asociados, ejecutando la supresión (o anonimización cuando exista obligación legal de conservación) dentro de un plazo definido.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna;No
REQ-15;RF-18;RF;El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-16;RF-03;RF;El sistema deberá permitir visualizar el perfil completo de una mascota mostrando su información general, historial médico autorizado, fotografías, comportamiento, vacunas, edad, raza para procesos de adopción o cruza.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;"Cuantificador vago; Ausencia de criterio de verificación";Sí
REQ-17;RD-08;RD;El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-18;RF-19;RF;El sistema deberá permitir adjuntar certificados veterinarios de ambas mascotas y que una veterinaria registrada los valide antes de habilitar la opción de cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-19;RF-12;RF;El sistema deberá permitir verificar la identidad de los usuarios mediante el registro y validación de la información requerida antes de participar en procesos de adopción o cruza.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-20;RF-09;RF;El sistema deberá permitir que una veterinaria autorizada valide la información médica registrada de una mascota, indicando que los datos han sido verificados por un profesional.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-21;RF-13;RF;El sistema deberá permitir al propietario publicar una mascota indicando si estará disponible para adopción, cruza o ambas opciones, incluyendo toda la información autorizada del perfil de la mascota.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna;No
REQ-22;RD-04;RD;El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-23;RF-11;RF;El sistema deberá permitir que el propietario determine qué información de su mascota y de su perfil podrá ser visualizada por otros usuarios, protegiendo los datos considerados sensibles (ubicación, datos de contacto y afecciones específicas).;No ambiguo;No ambiguo;Ambiguo;No ambiguo;2/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-24;RNF-01;RNF;El sistema deberá impedir el acceso no autorizado a la información personal de los propietarios y al historial médico de las mascotas, garantizando que durante las pruebas de seguridad no se produzcan accesos exitosos por parte de usuarios sin los permisos correspondientes.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-25;RNF-10;RNF;El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-26;RF-22;RF;El sistema deberá permitir mantener un contacto periódico entre adoptante y propietario original tras completarse una adopción, registrando un compromiso firmado y el estado del seguimiento.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna;No
REQ-27;RNF-09;RNF;El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos (RF-10), garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo.;No ambiguo;No ambiguo;Ambiguo;No ambiguo;2/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-28;RD-03;RD;El sistema deberá permitir que la validación de la información médica sea realizada únicamente por veterinarias autorizadas.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-29;RF-04;RF;El sistema deberá permitir buscar mascotas aplicando filtros como especie, raza, edad, ubicación, estado de salud, tamaño, temperamento y disponibilidad para adopción o cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-30;RD-05;RD;El sistema deberá organizarse en módulos independientes para facilitar el mantenimiento y la incorporación de nuevas funcionalidades, como componentes de inteligencia artificial o nuevos procesos relacionados con mascotas.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-31;RF-10;RF;El sistema deberá generar recordatorios por notificación en la aplicación y WhatsApp para informar al propietario sobre próximas vacunas, desparasitaciones y controles veterinarios, enviándolos con una semana y un día de anticipación.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-32;RD-09;RD;El equipo deberá anonimizar o seudonimizar las transcripciones, videos y respuestas de cuestionario antes de incluirlas en el conjunto de datos abierto (Zenodo/OSF), removiendo identificadores directos del propietario.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-33;RF-06;RF;El sistema deberá evaluar la compatibilidad entre dos mascotas registradas para procesos de cruza, considerando su raza, edad, estado de salud, antecedentes genéticos, parentesco, comportamiento e historial médico.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna;No
REQ-34;RF-01;RF;El sistema deberá permitir al propietario registrar una mascota ingresando su información general, incluyendo nombre, especie, raza, sexo, edad, estado reproductivo y fotografías para su identificación dentro de la plataforma.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-35;RF-16;RF;El sistema deberá permitir registrar y consultar los antecedentes genéticos y el grado de parentesco de una mascota, incluyendo información sobre enfermedades hereditarias y linaje para apoyar los procesos de cruza responsable y la evaluación de compatibilidad.;No ambiguo;No ambiguo;Ambiguo;No ambiguo;2/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-36;RNF-04;RNF;La interfaz del sistema deberá permitir que al menos el 90 % de los usuarios completen las tareas principales (registrar una mascota, consultar su información y enviar solicitudes de adopción o cruza) sin necesidad de capacitación previa, y alcanzar una puntuación media ≥ 80/100 en la escala System Usability Scale (SUS).;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-37;RNF-07;RNF;El componente de inteligencia artificial deberá clasificar correctamente al menos el 95 % de las imágenes cargadas como válidas o inválidas según el tipo de fotografía esperado.;Ambiguo;No ambiguo;No ambiguo;No ambiguo;2/3;No ambiguo;Ninguna;Sí
REQ-38;RNF-16;RNF;El sistema deberá ocultar por defecto la ubicación exacta y los datos de contacto directo del propietario, mostrando únicamente una zona aproximada (radio ≥ 1 km) a usuarios no autorizados, en cumplimiento del principio de minimización de la LOPDP.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-39;RNF-12;RNF;El sistema deberá soportar el incremento de usuarios concurrentes sin degradar significativamente el tiempo de respuesta definido en RNF-03, permitiendo escalar horizontalmente los servidores de aplicación.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-40;RNF-02;RNF;El sistema deberá mantenerse disponible para los usuarios con una disponibilidad mínima del 99 % mensual, permitiendo el acceso continuo a sus funcionalidades durante la operación normal de la plataforma.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-41;RNF-11;RNF;La plataforma web deberá funcionar correctamente en los navegadores Chrome, Firefox y Safari (dos últimas versiones estables) y adaptarse de forma responsiva a pantallas móviles y de escritorio.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-42;RNF-15;RNF;Cuando un mensaje sea marcado como inapropiado por el componente de moderación automática, el sistema deberá notificar la categoría de infracción detectada (lenguaje ofensivo, spam, solicitud de pago externo) mediante una explicación por ejemplos, antes de bloquear el envío.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-43;RNF-14;RNF;Cuando una imagen sea rechazada por el componente de inteligencia artificial, el sistema deberá informar el motivo específico (contenido inapropiado, imagen borrosa, tipo de fotografía incorrecto) mediante una explicación por contraste, en un máximo de 30 palabras.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-44;RF-15;RF;El sistema deberá permitir al propietario consultar el historial de solicitudes y procesos de adopción y cruza asociados a sus mascotas, incluyendo su estado y fecha de realización.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-45;RF-07;RF;El sistema deberá permitir la comunicación entre propietarios e interesados mediante mensajes para coordinar procesos de adopción y cruza.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-46;RD-01;RD;El sistema deberá incorporar componentes de inteligencia artificial para la evaluación de compatibilidad entre mascotas y la validación de imágenes cargadas por los usuarios.;No ambiguo;No ambiguo;Ambiguo;No ambiguo;2/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-47;RD-07;RD;El sistema deberá contar con un mecanismo de detección y registro de incidentes de seguridad que permita notificar a la Autoridad de Protección de Datos Personales en un máximo de 5 días y al titular afectado en un máximo de 3 días, cuando el incidente comprometa sus derechos.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-48;RNF-08;RNF;El sistema deberá reflejar las actualizaciones realizadas sobre la información de mascotas, historiales médicos y publicaciones en un tiempo máximo de 5 segundos, garantizando que los usuarios consulten información actualizada.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-49;RF-21;RF;El sistema deberá permitir registrar y consultar el número de microchip de identificación de una mascota como parte de su perfil.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-50;RF-08;RF;El sistema deberá permitir que los propietarios soliciten procesos de cruza entre mascotas y que el propietario de la otra mascota pueda aceptar o rechazar la solicitud con base en la información disponible.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
