Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estado de verificación),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Campo personalizado (Team),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Registrar publicaciones de mascotas,KAN-9,10008,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:48 PM,22/ago/26 5:52 PM,22/ago/26 7:11 PM,,,0,"RF asociado: RF-13
Historia de usuario (HU-10): Como propietario de mascota, quiero publicar a mi mascota como disponible para adopcion o cruza, para que otros usuarios puedan encontrarla y contactarme.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-01, EV-02, EV-04, EV-06, EV-07, EV-08",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00033:2,,,,"EV-01, EV-02, EV-04, EV-06, EV-07, EV-08",Must,,,Por hacer,22/ago/26 4:48 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Validar imágenes,KAN-10,10009,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:55 PM,22/ago/26 5:52 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-17
Historia de usuario (HU-20): Como propietario de mascota, quiero que el sistema valide que la imagen que subo corresponda a una mascota y no contenga contenido inapropiado, para mantener publicaciones confiables y libres de contenido ofensivo.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-01, EV-03, EV-05, EV-07, EV-08",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00033:4,,,,"EV-01, EV-03, EV-05, EV-07, EV-08",Should,,,Por hacer,22/ago/26 4:48 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Registrar identificador de microchip,KAN-11,10010,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:56 PM,22/ago/26 5:53 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-21
Historia de usuario (HU-23): Como propietario de mascota o veterinaria, quiero registrar y consultar el numero de microchip de la mascota en su perfil, para contar con un identificador unico y verificable de la mascota.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-16",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00033:9,,,,EV-16,Should,,,Por hacer,22/ago/26 4:48 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Consultar perfil completo de una mascota,KAN-7,10006,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:47 PM,22/ago/26 5:52 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-03
Historia de usuario (HU-03): Como adoptante, quiero consultar el perfil completo de una mascota, para decidir si quiero iniciar un proceso de adopcion o cruza.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-02, EV-04, EV-05, EV-06, EV-07, EV-14",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00033:i,,,,"EV-02, EV-04, EV-05, EV-06, EV-07, EV-14",Must,,,Por hacer,22/ago/26 4:48 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
"Registrar trazabilidad de cepa, lote y aplicador",KAN-22,10021,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:04 PM,22/ago/26 5:54 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-24
Historia de usuario (HU-24): Como veterinaria, quiero registrar la cepa, marca y profesional que aplico cada vacuna dentro del carnet de vacunacion, para garantizar la trazabilidad clinica completa de cada dosis aplicada.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-15, EV-16",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00034:,,,,"EV-15, EV-16",Must,,,Por hacer,22/ago/26 4:48 PM,10002,KAN-3,E3 — Historial médico y veterinaria
Publicar aviso de mascota extraviada,KAN-12,10011,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:57 PM,22/ago/26 5:53 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-25
Historia de usuario (HU-25): Como propietario de mascota, quiero publicar un aviso de mascota extraviada con fotografias y microchip, sin exponer mi ubicacion exacta ni mi contacto directo por defecto, para facilitar su localizacion sin comprometer mi privacidad.
Prioridad MoSCoW: Could
Fuente del requisito (Origen): EV-12, EV-16",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00037:,,,,"EV-12, EV-16",Could,,,Por hacer,22/ago/26 4:48 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Evaluar compatibilidad entre mascotas para cruza,KAN-23,10022,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:05 PM,22/ago/26 5:54 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-06
Historia de usuario (HU-05): Como interesado en cruza, quiero conocer el nivel de compatibilidad entre dos mascotas, para decidir con mejor informacion si continuar con el proceso de cruza.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-01 a EV-08, EV-11, EV-13, EV-14, EV-15, EV-16",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00039:,,,,"EV-01 a EV-08, EV-11, EV-13, EV-14, EV-15, EV-16",Must,,,Por hacer,22/ago/26 4:48 PM,10003,KAN-4,E4 — Cruza y compatibilidad
Coordinar encuentros de socialización supervisados,KAN-16,10015,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:00 PM,22/ago/26 5:53 PM,,,,0,"RF asociado: RF-20
Historia de usuario (HU-22): Como propietario de mascota, quiero coordinar un encuentro presencial supervisado entre mi mascota y la de otro usuario, para socializarlas previamente a un proceso de adopcion o cruza.
Prioridad MoSCoW: Could
Fuente del requisito (Origen): EV-13",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0003b:,,,,EV-13,Could,,,Por hacer,09/ago/26 2:01 PM,10001,KAN-2,E2 — Adopción y solicitudes
Dar seguimiento post-adopción,KAN-17,10016,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:01 PM,22/ago/26 5:53 PM,,,,0,"RF asociado: RF-22
Historia de usuario (HU-14): Como propietario original, quiero mantener contacto con el adoptante despues de completada la adopcion, para verificar el bienestar de mi mascota.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-16, EV-10",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0003j:,,,,"EV-16, EV-10",Must,,,Por hacer,09/ago/26 2:01 PM,10001,KAN-2,E2 — Adopción y solicitudes
Emitir alertas de riesgo sanitario o físico,KAN-18,10017,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:02 PM,22/ago/26 5:53 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-23
Historia de usuario (HU-15): Como propietario de mascota, quiero recibir una alerta cuando exista un riesgo sanitario o fisico en una interaccion o cruza, para evitar poner en peligro a mi mascota.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-09, EV-12, EV-15, EV-18",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0003r:,,,,"EV-09, EV-12, EV-15, EV-18",Must,,,Por hacer,09/ago/26 2:02 PM,10001,KAN-2,E2 — Adopción y solicitudes
Gestionar historial médico de la mascota,KAN-19,10018,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:03 PM,22/ago/26 5:53 PM,22/ago/26 7:12 PM,,,0,"RF asociado: RF-02
Historia de usuario (HU-02): Como propietario de mascota, quiero registrar y actualizar el historial medico de mi mascota, para mantener un registro confiable de su estado de salud.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-01, EV-02, EV-03, EV-04, EV-05, EV-06, EV-07, EV-15, EV-16",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0003z:,,,,"EV-01, EV-02, EV-03, EV-04, EV-05, EV-06, EV-07, EV-15, EV-16",Must,,,Por hacer,09/ago/26 2:03 PM,10002,KAN-3,E3 — Historial médico y veterinaria
Validar información médica de una mascota,KAN-20,10019,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:03 PM,22/ago/26 5:53 PM,,,,0,"RF asociado: RF-09
Historia de usuario (HU-07): Como veterinaria, quiero validar la informacion medica registrada de una mascota, para dejar constancia de que los datos fueron verificados por un profesional.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-03, EV-05, EV-07, EV-15, EV-16",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00047:,,,,"EV-03, EV-05, EV-07, EV-15, EV-16",Must,,,Por hacer,09/ago/26 2:03 PM,10002,KAN-3,E3 — Historial médico y veterinaria
Gestionar carnet de vacunación,KAN-21,10020,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:04 PM,22/ago/26 5:54 PM,,,,0,"RF asociado: RF-14
Historia de usuario (HU-11): Como propietario de mascota, quiero llevar el carnet de vacunacion de mi mascota dentro de la plataforma, para tener un registro ordenado y disponible de sus vacunas.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-02, EV-03, EV-05, EV-06, EV-07, EV-10, EV-16, EV-18",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0004f:,,,,"EV-02, EV-03, EV-05, EV-06, EV-07, EV-10, EV-16, EV-18",Must,,,Por hacer,09/ago/26 2:04 PM,10002,KAN-3,E3 — Historial médico y veterinaria
Gestionar solicitudes de cruza,KAN-24,10023,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:05 PM,22/ago/26 5:54 PM,,,,0,"RF asociado: RF-08
Historia de usuario (HU-06): Como propietario de mascota, quiero solicitar un proceso de cruza con otra mascota registrada, para iniciar el proceso de forma formal dentro de la plataforma.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-01, EV-02, EV-03, EV-05, EV-06, EV-07",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00053:,,,,"EV-01, EV-02, EV-03, EV-05, EV-06, EV-07",Must,,,Por hacer,09/ago/26 2:05 PM,10003,KAN-4,E4 — Cruza y compatibilidad
Gestionar antecedentes genéticos y parentesco,KAN-25,10024,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:06 PM,22/ago/26 5:54 PM,,,,0,"RF asociado: RF-16
Historia de usuario (HU-12): Como propietario de mascota, quiero registrar los antecedentes geneticos y el parentesco de mi mascota, para respaldar un proceso de cruza responsable.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-01, EV-03, EV-05, EV-07, EV-14, EV-15",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0005b:,,,,"EV-01, EV-03, EV-05, EV-07, EV-14, EV-15",Must,,,Por hacer,09/ago/26 2:06 PM,10003,KAN-4,E4 — Cruza y compatibilidad
Validar certificados veterinarios antes de cruza,KAN-26,10025,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:06 PM,22/ago/26 5:54 PM,22/ago/26 7:13 PM,,,0,"RF asociado: RF-19
Historia de usuario (HU-21): Como propietario de mascota, quiero adjuntar certificados veterinarios de ambas mascotas para que una veterinaria los valide, para habilitar la opcion de cruza con la garantia de una verificacion profesional.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-11",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0005j:,,,,EV-11,Should,,,Por hacer,09/ago/26 2:06 PM,10003,KAN-4,E4 — Cruza y compatibilidad
