ID_Anonimo,Clasificacion_Detector,Reglas_Activadas,Texto_Requisito
REQ-15,No ambiguo,Ninguna,"El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa."
REQ-16,Ambiguo,Cuantificador vago; Ausencia de criterio de verificación,"El sistema deberá permitir visualizar el perfil completo de una mascota mostrando su información general, historial médico autorizado, fotografías, comportamiento, vacunas, edad, raza para procesos de adopción o cruza."
REQ-17,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios, quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor."
REQ-18,Ambiguo,Ausencia de criterio de verificación,El sistema deberá permitir adjuntar certificados veterinarios de ambas mascotas y que una veterinaria registrada los valide antes de habilitar la opción de cruza.
REQ-19,Ambiguo,Ausencia de criterio de verificación,El sistema deberá permitir verificar la identidad de los usuarios mediante el registro y validación de la información requerida antes de participar en procesos de adopción o cruza.
REQ-20,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir que una veterinaria autorizada valide la información médica registrada de una mascota, indicando que los datos han sido verificados por un profesional."
REQ-21,No ambiguo,Ninguna,"El sistema deberá permitir al propietario publicar una mascota indicando si estará disponible para adopción, cruza o ambas opciones, incluyendo toda la información autorizada del perfil de la mascota."
REQ-22,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto."
REQ-23,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir que el propietario determine qué información de su mascota y de su perfil podrá ser visualizada por otros usuarios, protegiendo los datos considerados sensibles (ubicación, datos de contacto y afecciones específicas)."
REQ-24,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá impedir el acceso no autorizado a la información personal de los propietarios y al historial médico de las mascotas, garantizando que durante las pruebas de seguridad no se produzcan accesos exitosos por parte de usuarios sin los permisos correspondientes."
REQ-25,Ambiguo,Ausencia de criterio de verificación,El sistema deberá organizarse en módulos independientes y documentados para facilitar el mantenimiento del código y la incorporación de nuevas funcionalidades por parte de otros desarrolladores.
REQ-26,No ambiguo,Ninguna,"El sistema deberá permitir mantener un contacto periódico entre adoptante y propietario original tras completarse una adopción, registrando un compromiso firmado y el estado del seguimiento."
REQ-27,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos, garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo."
REQ-28,Ambiguo,Ausencia de criterio de verificación,El sistema deberá permitir que la validación de la información médica sea realizada únicamente por veterinarias autorizadas.
REQ-29,No ambiguo,Ninguna,"El sistema deberá permitir buscar mascotas aplicando filtros como especie, raza, edad, ubicación, estado de salud, tamaño, temperamento y disponibilidad para adopción o cruza."
REQ-30,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá organizarse en módulos independientes para facilitar el mantenimiento y la incorporación de nuevas funcionalidades, como componentes de inteligencia artificial o nuevos procesos relacionados con mascotas."
REQ-31,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá generar recordatorios por notificación en la aplicación y WhatsApp para informar al propietario sobre próximas vacunas, desparasitaciones y controles veterinarios, enviándolos con una semana y un día de anticipación."
REQ-32,Ambiguo,Ausencia de criterio de verificación,"El equipo deberá anonimizar o seudonimizar las transcripciones, videos y respuestas de cuestionario antes de incluirlas en el conjunto de datos abierto (Zenodo/OSF), removiendo identificadores directos del propietario."
REQ-33,No ambiguo,Ninguna,"El sistema deberá evaluar la compatibilidad entre dos mascotas registradas para procesos de cruza, considerando su raza, edad, estado de salud, antecedentes genéticos, parentesco, comportamiento e historial médico."
REQ-34,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir al propietario registrar el perfil de su mascota con sus datos generales y fotografías, para que otros usuarios puedan identificarla y evaluarla en procesos de adopción o cruza."
REQ-35,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir registrar y consultar los antecedentes genéticos y el grado de parentesco de una mascota, incluyendo información sobre enfermedades hereditarias y linaje para apoyar los procesos de cruza responsable y la evaluación de compatibilidad."
REQ-36,No ambiguo,Ninguna,"La interfaz del sistema deberá permitir que al menos el 90% de los usuarios complete las tareas principales, como registrar una mascota, consultar su información y enviar solicitudes de adopción o cruza, sin necesidad de capacitación previa."
REQ-37,No ambiguo,Ninguna,El componente de inteligencia artificial deberá clasificar correctamente al menos el 95% de las imágenes cargadas como válidas o inválidas según el tipo de fotografía esperado.
REQ-38,No ambiguo,Ninguna,"El sistema deberá ocultar por defecto la ubicación exacta y los datos de contacto directo del propietario, mostrando únicamente una zona aproximada (radio mayor o igual a 1 km) a usuarios no autorizados, en cumplimiento del principio de minimización de la LOPDP."
REQ-39,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá soportar el incremento de usuarios concurrentes sin degradar significativamente el tiempo de respuesta definido en el requisito de eficiencia, permitiendo escalar horizontalmente los servidores de aplicación."
REQ-40,No ambiguo,Ninguna,"El sistema deberá mantenerse disponible para los usuarios con una disponibilidad mínima del 99% mensual, permitiendo el acceso continuo a sus funcionalidades durante la operación normal de la plataforma."
REQ-41,Ambiguo,Ausencia de criterio de verificación,"La plataforma web deberá funcionar correctamente en los navegadores Chrome, Firefox y Safari (dos últimas versiones estables) y adaptarse de forma responsiva a pantallas móviles y de escritorio."
REQ-42,No ambiguo,Ninguna,"Cuando un mensaje sea marcado como inapropiado por el componente de moderación automática, el sistema deberá notificar la categoría de infracción detectada (lenguaje ofensivo, spam, solicitud de pago externo) mediante una explicación por ejemplos, antes de bloquear el envío."
REQ-43,No ambiguo,Ninguna,"Cuando una imagen sea rechazada por el componente de inteligencia artificial, el sistema deberá informar el motivo específico (contenido inapropiado, imagen borrosa, tipo de fotografía incorrecto) mediante una explicación por contraste, en un máximo de 30 palabras."
REQ-44,No ambiguo,Ninguna,"El sistema deberá permitir al propietario consultar el historial de solicitudes y procesos de adopción y cruza asociados a sus mascotas, incluyendo su estado y fecha de realización."
REQ-45,Ambiguo,Ausencia de criterio de verificación,El sistema deberá permitir la comunicación entre propietarios e interesados mediante mensajes para coordinar procesos de adopción y cruza.
REQ-46,Ambiguo,Ausencia de criterio de verificación,El sistema deberá incorporar componentes de inteligencia artificial para la evaluación de compatibilidad entre mascotas y la validación de imágenes cargadas por los usuarios.
REQ-47,No ambiguo,Ninguna,"El sistema deberá contar con un mecanismo de detección y registro de incidentes de seguridad que permita notificar a la Autoridad de Protección de Datos Personales en un máximo de 5 días y al titular afectado en un máximo de 3 días, cuando el incidente comprometa sus derechos."
REQ-48,No ambiguo,Ninguna,"El sistema deberá reflejar las actualizaciones realizadas sobre la información de mascotas, historiales médicos y publicaciones en un tiempo máximo de 5 segundos, garantizando que los usuarios consulten información actualizada."
REQ-49,Ambiguo,Ausencia de criterio de verificación,El sistema deberá permitir registrar y consultar el número de microchip de identificación de una mascota como parte de su perfil.
REQ-50,Ambiguo,Ausencia de criterio de verificación,El sistema deberá permitir que los propietarios soliciten procesos de cruza entre mascotas y que el propietario de la otra mascota pueda aceptar o rechazar la solicitud con base en la información disponible.
