ID_Anonimo;ID_Real;Tipo;Texto_Requisito;EXP-01;EXP-02;EXP-03;Consenso_experto;Nivel_acuerdo;Clasificacion_detector;Reglas_detector;Coincide
REQ-15;RF-21;RF;El sistema deberá permitir registrar y consultar el número de microchip de identificación de una mascota como parte de su perfil.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-16;RF-14;RF;El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-17;RF-23;RF;El sistema deberá emitir una alerta cuando se intente registrar una interacción o solicitud de cruza entre mascotas que presenten una diferencia de peso corporal registrado superior al 40 % entre ambas, o cuando alguna tenga una enfermedad contagiosa activa registrada en su historial médico.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-18;RD-04;RD;El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna regla activada;No
REQ-19;RL-01;RL;El tratamiento de datos personales del propietario debe basarse en un consentimiento libre, específico, informado e inequívoco, revocable en cualquier momento.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-20;RF-02;RF;El sistema deberá permitir registrar el historial médico de una mascota, incluyendo desparasitaciones, enfermedades, alergias, cirugías, tratamientos y controles veterinarios.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-21;RD-06;RD;El sistema deberá permitir que el propietario solicite la eliminación de su cuenta y de los datos personales asociados, ejecutando la supresión (o anonimización cuando exista obligación legal de conservación) dentro de un plazo definido.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Restricción de diseño incompleta;Sí
REQ-22;RNF-07;RNF;El sistema deberá clasificar correctamente, mediante su componente de inteligencia artificial, al menos el 95 % de las imágenes cargadas como válidas o inválidas según el tipo de fotografía esperado.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-23;RF-05;RF;El sistema deberá permitir que un usuario interesado envíe una solicitud de adopción, incluyendo su fotografía de perfil, y que el propietario la acepte o rechace en una primera revisión, con base en la información del solicitante.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-24;RF-11;RF;El sistema deberá permitir que el propietario determine qué información de su mascota y de su perfil podrá ser visualizada por otros usuarios, protegiendo los datos considerados sensibles (ubicación, datos de contacto y afecciones específicas).;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Terminología imprecisa / verificabilidad;No
REQ-25;RNF-14;RNF;Cuando una imagen sea rechazada por el componente de inteligencia artificial, el sistema deberá informar el motivo específico (contenido inapropiado, imagen borrosa, tipo de fotografía incorrecto) mediante una explicación por contraste, en un máximo de 30 palabras.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-26;RF-09;RF;El sistema deberá permitir que una veterinaria autorizada valide la información médica registrada de una mascota, indicando que los datos han sido verificados por un profesional.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología imprecisa / verificabilidad;Sí
REQ-27;RF-04;RF;El sistema deberá permitir buscar mascotas aplicando filtros como especie, raza, edad, ubicación, estado de salud, tamaño, temperamento y disponibilidad para adopción o cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-28;RL-03;RL;El titular tiene derecho a la rectificación y actualización de sus datos inexactos o incompletos, en un plazo de 15 días.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-29;RF-24;RF;El sistema deberá permitir registrar, además de la fecha, la cepa o marca del biológico y el profesional que aplicó cada vacuna dentro del carnet de vacunación.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-30;RNF-02;RNF;"El sistema deberá mantenerse disponible para los usuarios con una disponibilidad mínima del 99 % mensual, permitiendo el acceso continuo a sus funcionalidades durante la operación normal de la plataforma. Este criterio aplica exclusivamente al entorno de producción con backend desplegado; no es exigible ni medible sobre el MVP local descrito en la Sección 6.1, al no operar este último en un ambiente de uso continuo que permita demostrar disponibilidad mensual.";No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-31;RD-03;RD;El sistema deberá permitir que la validación de la información médica sea realizada únicamente por veterinarias autorizadas.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Restricción de diseño incompleta;No
REQ-32;RF-01;RF;El sistema deberá permitir al propietario registrar una mascota ingresando su información general, incluyendo nombre, especie, raza, sexo, edad, estado reproductivo y fotografías para su identificación dentro de la plataforma.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-33;RD-05;RD;El sistema deberá organizarse en módulos independientes para facilitar el mantenimiento y la incorporación de nuevas funcionalidades, como componentes de inteligencia artificial o nuevos procesos relacionados con mascotas.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Restricción de diseño incompleta;Sí
REQ-34;RF-13;RF;El sistema deberá permitir al propietario publicar una mascota indicando si estará disponible para adopción, cruza o ambas opciones, incluyendo toda la información autorizada del perfil de la mascota.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-35;RD-01;RD;El sistema deberá incorporar componentes de inteligencia artificial para la evaluación de compatibilidad entre mascotas y la validación de imágenes cargadas por los usuarios.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-36;RF-19;RF;El sistema deberá permitir adjuntar certificados veterinarios de ambas mascotas y que una veterinaria registrada los valide antes de habilitar la opción de cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-37;RF-16;RF;El sistema deberá permitir registrar y consultar los antecedentes genéticos y el grado de parentesco de una mascota, incluyendo información sobre enfermedades hereditarias y linaje para apoyar los procesos de cruza responsable y la evaluación de compatibilidad.;No ambiguo;No ambiguo;Ambiguo;No ambiguo;2/3;Ambiguo;Terminología imprecisa / verificabilidad;No
REQ-38;RF-18;RF;El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-39;RD-09;RD;El equipo del proyecto deberá anonimizar o seudonimizar las transcripciones, videos y respuestas de cuestionario antes de incluirlas en el conjunto de datos abierto (Zenodo/OSF), removiendo identificadores directos del propietario.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-40;RF-03;RF;El sistema deberá permitir visualizar el perfil completo de una mascota mostrando su información general, historial médico autorizado, fotografías, comportamiento, vacunas, edad, raza para procesos de adopción o cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-41;RF-25;RF;El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-42;RF-08;RF;El sistema deberá permitir que los propietarios soliciten procesos de cruza entre mascotas y que el propietario de la otra mascota pueda aceptar o rechazar la solicitud con base en la información disponible.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna regla activada;No
REQ-43;RF-22;RF;El sistema deberá permitir mantener un contacto periódico entre adoptante y propietario original tras completarse una adopción, registrando un compromiso firmado y el estado del seguimiento.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología imprecisa / verificabilidad;Sí
REQ-44;RD-08;RD;El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-45;RL-04;RL;El titular tiene derecho a solicitar la eliminación de sus datos personales cuando revoque el consentimiento o estos ya no sean necesarios.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-46;RNF-12;RNF;El sistema deberá soportar el incremento de usuarios concurrentes sin degradar significativamente el tiempo de respuesta definido en RNF-03, permitiendo escalar horizontalmente los servidores de aplicación.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Cuantificador vago / umbral insuficiente;Sí
REQ-47;RNF-05;RNF;El sistema deberá garantizar que únicamente los usuarios autorizados puedan modificar el historial médico de una mascota, evitando que durante las pruebas se produzcan modificaciones no autorizadas.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-48;RD-02;RD;El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.;Ambiguo;No ambiguo;Ambiguo;Ambiguo;2/3;No ambiguo;Ninguna regla activada;No
REQ-49;RNF-13;RNF;El sistema deberá presentar, junto con el resultado de compatibilidad para cruza, una explicación causal de los factores que influyeron en el resultado (raza, edad, estado de salud, antecedentes genéticos), en un máximo de 60 palabras y con un tiempo de generación no mayor a 2 segundos.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-50;RL-05;RL;Los datos deben limitarse a lo estrictamente necesario para la finalidad (minimización) y protegerse frente a accesos no autorizados (seguridad).;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología normativa imprecisa;Sí
REQ-51;RNF-16;RNF;El sistema deberá ocultar por defecto la ubicación exacta y los datos de contacto directo del propietario, mostrando únicamente una zona aproximada (radio ≥ 1 km) a usuarios no autorizados, en cumplimiento del principio de minimización de la LOPDP.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-52;RF-07;RF;El sistema deberá permitir la comunicación entre propietarios e interesados mediante mensajes para coordinar procesos de adopción y cruza, incluyendo la posibilidad de que el usuario reporte un mensaje o interacción como spam, lenguaje ofensivo o intento de acuerdo externo indebido, registrando el motivo del reporte asociado a la conversación.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-53;RNF-04;RNF;El sistema deberá permitir que al menos el 90 % de los usuarios completen las tareas principales (registrar una mascota, consultar su información y enviar solicitudes de adopción o cruza) sin necesidad de capacitación previa, y alcanzar una puntuación media ≥ 80/100 en la escala System Usability Scale (SUS).;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Cuantificador vago / umbral insuficiente;No
REQ-54;RNF-06;RNF;El sistema deberá generar, mediante su componente de inteligencia artificial, recomendaciones de compatibilidad para procesos de cruza con una coincidencia mínima del 85 % respecto a las evaluaciones realizadas por médicos veterinarios durante las pruebas de validación.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-55;RF-10;RF;El sistema deberá entregar al propietario, con una semana y un día de anticipación, un recordatorio sobre próximas vacunas, desparasitaciones y controles veterinarios de la mascota, utilizando WhatsApp como canal principal y el canal de notificación in-app como respaldo automático cuando el proveedor externo no esté disponible;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-56;RF-26;RF;El sistema deberá permitir que una segunda veterinaria autorizada revise y confirme o cuestione la validación de la información médica de una mascota realizada previamente por otra veterinaria, dejando constancia de ambas validaciones dentro del historial médico.;Ambiguo;No ambiguo;Ambiguo;Ambiguo;2/3;No ambiguo;Ninguna regla activada;No
REQ-57;RF-27;RF;El sistema deberá registrar la cantidad de procesos de cruza completados por cada mascota y emitir una alerta al propietario y al interesado cuando una misma mascota supere dos procesos de cruza completados dentro de un periodo de seis meses.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-58;RL-06;RL;El titular tiene derecho a no ser objeto de una decisión basada únicamente en valoraciones automatizadas sin recibir una explicación motivada sobre ella.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología normativa imprecisa;Sí
REQ-59;RL-07;RL;"Los datos sensibles y los datos de salud del propietario requieren consentimiento explícito y confidencialidad reforzada; el historial clínico de la mascota se protege como extensión indirecta de esos datos.";Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología normativa imprecisa;Sí
REQ-60;RL-08;RL;El sistema debe implementar protección de datos desde el diseño y por defecto, tratando solo los datos estrictamente necesarios para cada finalidad.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología normativa imprecisa;Sí
REQ-61;RL-09;RL;Ante una vulneración de seguridad que afecte derechos del titular, debe notificarse a la Autoridad de Protección de Datos en máximo 5 días y al titular afectado en máximo 3 días.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
