ID,Fuente,Requisito,Caso de Uso,Clase,Proceso,Estado,Criterio,Caso de Prueba,Historia,Estado de la traza,Ley,Articulo,ID-EV,Objetivo,Stakeholder,ID-Mockup,ID-Componente
TR-31,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta, OBS-01",RNF-04,(Transversal / UI),---,Transversal,---,---,CP-31,---,Completa (transversal),---,---,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta, OBS-01",Facilidad de uso,Todos los usuarios,MU-04,COMP-06 Transversal (calidad)
TR-32,"VET-01, VET-03, Encuesta; también RD-04",RNF-05,CU-02,---,P1,---,---,CP-32,---,Completa (transversal),---,---,"VET-01, VET-03, Encuesta",Integridad info. médica,Veterinaria,MU-03,COMP-06 Transversal (calidad)
TR-33,"PROP-01, VET-01, VET-03, Encuesta; también RF-06, RNF-13",RNF-06,CU-13,CompatibilityEvaluation,P8,---,CA-05 (heredado de RF-06),CP-33,HU-05 (heredada de RF-06),Completa,---,---,"PROP-01, VET-01, VET-03, Encuesta",Exactitud componente IA,Interesado en cruza,MU-07,COMP-05 Inteligencia Artificial
TR-34,"PROP-01, VET-01, VET-03, Encuesta; también RF-17, RNF-14",RNF-07,(Transversal a Media),Post,P8,---,CA-20 (heredado de RF-17),CP-34,HU-20 (heredada de RF-17),Completa,---,---,"PROP-01, VET-01, VET-03, Encuesta",Precisión validación imágenes,Propietario,---,COMP-05 Inteligencia Artificial
TR-35,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta",RNF-08,CU-01,---,P1,---,---,CP-35,---,Completa (transversal),---,---,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta",Actualización de información,Todos los usuarios,---,COMP-06 Transversal (calidad)
TR-36,"PROP-04, PROP-11; también RF-10, RD-08",RNF-09,CU-12,---,P1,---,CA-18 (heredado de RF-10),CP-36,HU-18 (heredada de RF-10),Completa,---,---,"PROP-04, PROP-11",Interoperabilidad de notificaciones,Propietario,---,COMP-06 Transversal (calidad)
TR-37,Equipo desarrollador; también RD-05,RNF-10,(Transversal a Diseño),---,Transversal,---,---,CP-37,---,Completa (transversal),---,---,Equipo desarrollador,Mantenibilidad del código,Equipo desarrollador,---,COMP-06 Transversal (calidad)
TR-38,"Encuesta, OBS-01",RNF-11,(Transversal a UI),---,Transversal,---,---,CP-38,---,Completa (transversal),---,---,"Encuesta, OBS-01",Portabilidad entre navegadores,Todos los usuarios,---,COMP-06 Transversal (calidad)
TR-39,"Encuesta, OBS-01; también RNF-03",RNF-12,(Transversal),---,Transversal,---,---,CP-39,---,Completa (transversal),---,---,"Encuesta, OBS-01",Escalabilidad ante crecimiento,Todos los usuarios,---,COMP-06 Transversal (calidad)
TR-40,"PROP-06, PROP-08, VET-04, VET-05; también RF-06, RNF-06, RL-06",RNF-13,CU-13,CompatibilityEvaluation,P8,---,CA-05,CP-40,HU-05 (heredada de RF-06),Completa,---,---,"PROP-06, PROP-08, VET-04, VET-05",Explicabilidad de la compatibilidad para cruza,Interesado en cruza,MU-07,COMP-05 Inteligencia Artificial
TR-41,"PROP-06, PROP-08; también RF-17, RNF-07, RL-06",RNF-14,(Transversal a Media),Post,P8,---,CA-20 (heredado de RF-17),CP-41,HU-20 (heredada de RF-17),Completa,---,---,"PROP-06, PROP-08",Explicabilidad de la validación de imágenes,Propietario,---,COMP-05 Inteligencia Artificial
TR-42,"PROP-08, PROP-11; también RF-07, RL-06",RNF-15,CU-08,Message,P5,---,CA-17 (heredado de RF-07),CP-42,HU-17 (heredada de RF-07),Completa,---,---,"PROP-08, PROP-11",Explicabilidad de la moderación de mensajes,Propietario,MU-05,COMP-05 Inteligencia Artificial
TR-43,"PROP-07, VET-05; también RF-11, RL-05, RL-08",RNF-16,CU-12,---,P1,---,CA-08,CP-43,HU-08 (heredada de RF-11),Completa,---,---,"PROP-07, VET-05",Confidencialidad de ubicación y contacto,Propietario,MU-08,COMP-06 Transversal (calidad)
TR-44,"PROP-01, VET-01, VET-03, Encuesta; también RF-06, RF-17, RF-07",RD-01,CU-13,---,P8,---,---,CP-44,---,Completa (transversal),---,---,"PROP-01, VET-01, VET-03, Encuesta",Integración de IA,Equipo desarrollador,MU-07,COMP-05 Inteligencia Artificial
TR-45,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta; también RF-11, RL-05, RL-08",RD-02,(Transversal a Seguridad),"User, Owner, Shelter, Veterinarian",Transversal,---,---,CP-45,---,Completa (transversal),---,---,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta",Acceso basado en roles,Todos los usuarios,"MU-01, MU-08",COMP-07 Transversal (diseno)
TR-46,"VET-01, VET-03, Encuesta; también RF-09, RF-19",RD-03,CU-09,"VeterinaryEvaluation, Veterinarian",P4,---,---,CP-46,---,Completa (transversal),---,---,"VET-01, VET-03, Encuesta",Validación profesional,Veterinaria,MU-03,COMP-07 Transversal (diseno)
TR-47,"PROP-02, VET-03, PROP-03, Encuesta; también RNF-01, RL-05, RL-07",RD-04,CU-12,PrivacySettings,P1,---,---,CP-47,---,Completa (transversal),---,---,"PROP-02, VET-03, PROP-03, Encuesta",Protección de datos,Propietario / Veterinaria,MU-08,COMP-07 Transversal (diseno)
TR-48,Equipo desarrollador; también RNF-10,RD-05,(Transversal a Diseño),---,Transversal,---,---,CP-48,---,Completa (transversal),---,---,Equipo desarrollador,Arquitectura modular,Equipo desarrollador,---,COMP-07 Transversal (diseno)
TR-49,PROP-11; también RL-04,RD-06,(Transversal a Datos),---,Transversal,---,---,CP-49,---,Completa (transversal),---,---,PROP-11,Eliminación de cuenta y datos personales,Propietario,MU-08,COMP-07 Transversal (diseno)
TR-50,"PROP-07, PROP-11; también RL-09",RD-07,(Transversal a Seguridad),---,Transversal,---,---,CP-50,---,Completa (transversal),---,---,"PROP-07, PROP-11",Notificación de vulneraciones de seguridad,Equipo desarrollador,---,COMP-07 Transversal (diseno)
TR-51,"PROP-04, PROP-11; también RF-10, RNF-09",RD-08,CU-12,---,P1,---,---,CP-51,---,Completa (transversal),---,---,"PROP-04, PROP-11",Dependencia de mensajería externa,Propietario,---,COMP-07 Transversal (diseno)
TR-52,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta, OBS-01, PROP-04, PROP-05, PROP-06, PROP-07, PROP-08, PROP-09, VET-04, VET-05, PROP-10, PROP-11, VET-06, PROP-12, VET-07",RD-09,(Transversal a Datos),---,Transversal,---,---,CP-52,---,Completa (transversal),---,---,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta, OBS-01, PROP-04, PROP-05, PROP-06, PROP-07, PROP-08, PROP-09, VET-04, VET-05, PROP-10, PROP-11, VET-06, PROP-12, VET-07",Anonimización de evidencias de campo,Equipo investigador,---,COMP-07 Transversal (diseno)
TR-53,"LOPDP, Art. 7 y 8; también RL-02, RD-06",RL-01,(Onboarding),---,P1,---,---,CP-53,---,Completa (transversal),LOPDP,Art. 7 y 8,---,RL-01,---,MU-01,---
TR-54,"LOPDP, Art. 12 y 13; también RL-01, RL-03",RL-02,CU-10,---,P2,---,---,CP-54,---,Completa (transversal),LOPDP,Art. 12 y 13,---,RL-02,---,"MU-06, MU-08",---
TR-55,"LOPDP, Art. 14; también RL-02, RL-04",RL-03,CU-02,---,P1,---,---,CP-55,---,Completa (transversal),LOPDP,Art. 14,---,RL-03,---,"MU-03, MU-06",---
TR-56,"LOPDP, Art. 15; también RL-03, RL-05",RL-04,(Transversal a Datos),---,Transversal,---,---,CP-56,---,Completa (transversal),LOPDP,Art. 15,---,RL-04,---,MU-08,---
TR-57,"LOPDP, Art. 10 lit. e) y j); también RL-04, RL-07, RL-08",RL-05,CU-12,---,P1,---,---,CP-57,---,Completa (transversal),LOPDP,Art. 10 lit. e) y j),---,RL-05,---,MU-08,---
TR-58,"LOPDP, Art. 20; también RNF-13, RNF-14, RNF-15",RL-06,CU-13,---,P8,---,---,CP-58,---,Completa (transversal),LOPDP,Art. 20,---,RL-06,---,MU-07,---
TR-59,"LOPDP, Art. 25, 26 y 30; también RL-05, RD-04",RL-07,CU-12,---,P1,---,---,CP-59,---,Completa (transversal),LOPDP,"Art. 25, 26 y 30",---,RL-07,---,"MU-03, MU-08",---
TR-60,"LOPDP, Art. 39; también RD-02, RL-05",RL-08,(Transversal a Seguridad),---,Transversal,---,---,CP-60,---,Completa (transversal),LOPDP,Art. 39,---,RL-08,---,"MU-01, MU-08",---
TR-61,"LOPDP, Art. 43 y 46; también RD-07",RL-09,(Transversal a Seguridad),---,Transversal,---,---,CP-61,---,Completa (transversal),LOPDP,Art. 43 y 46,---,RL-09,---,---,---
