Fragmento,Codigo,Categoria,Requisito derivado,ID de evidencia,Analista
"Cuando es cachorro, aprende y son traviesos. Cuando alcanzan la madurez sexual su temperamento se moldea",Influencia de etapa de vida en comportamiento,Salud y bienestar,Refuerza RF-02,EV-03,Morales Sanchez Gary Alejandro
"El temperamento influye en la raza, algunas son catalogados como peligrosas",Percepcion de peligrosidad asociada a raza,Compatibilidad y cruza,Alimenta fairness de RNF-13,EV-03,Morales Sanchez Gary Alejandro
"El medico veterinario identifica los riesgos, y transmite a los propietarios como prevenir los riesgos",Rol humano de respaldo sobre decision automatica,Explicabilidad IA,RNF-13 candidato directo,EV-03,Morales Sanchez Gary Alejandro
Puede haber personas que usen el cruce para lucrarse,Explotacion reproductiva con fines de lucro,Confianza y verificacion,Alimenta RF-19/RD-03,EV-03,Morales Sanchez Gary Alejandro
"Antecedentes de enfermedades, como ETS, garrapatas, patologias hereditarias [antes de cruce]",Exigencia de antecedentes de ETS/enfermedades hereditarias antes de cruce,Compatibilidad y cruza,Refuerza RF-16/RF-19,EV-03,Morales Sanchez Gary Alejandro
Antes de entregar en adopcion: garantizar que exista seguimiento y comunicacion durante el proceso,Falta de seguimiento post-adopcion (problema recurrente),Adopcion responsable,RF-22 candidato,EV-03,Morales Sanchez Gary Alejandro
"Datos biologicos (edad, sexo, estado reproductivo, castrado) junto con historial medico detallado",Riesgo clinico por informacion incompleta,Salud y bienestar,Refuerza RF-09/RNF-06,EV-04,Morales Sanchez Gary Alejandro
El acceso a esta [informacion] debe estar estrictamente restringido a su autorizacion,Control granular de visibilidad medica,Privacidad,Refuerza RF-11,EV-04,Morales Sanchez Gary Alejandro
"Es indispensable evaluar examenes geneticos, pruebas de enfermedades infecciosas (como brucelosis)",Exigencia de pruebas serologicas/infecciosas antes de cruce,Compatibilidad y cruza,RF-19 candidato,EV-04,Morales Sanchez Gary Alejandro
"La compatibilidad la determina mediante la observacion atenta del lenguaje corporal (postura, cola, orejas)",Evaluacion conductual mediante lenguaje corporal,Compatibilidad y cruza,Alimenta tipo de explicacion en RNF-13,EV-04,Morales Sanchez Gary Alejandro
"Utilizar la informacion para educar a los propietarios, concientizandolos sobre la importancia de controles estrictos",Funcion educativa de la informacion registrada,Adopcion responsable,Contexto (fuera de alcance MVP),EV-04,Morales Sanchez Gary Alejandro
"Aumento del abandono, sufrimiento animal por herencia de cardiopatias, afecciones neurologicas o malformaciones, distocias",Riesgo clinico detallado de malformaciones y distocias por cruce irresponsable,Explicabilidad IA,RNF-13 candidato directo,EV-04,Morales Sanchez Gary Alejandro
"Si ha tenido reacciones alergicas, si la mascota ha sido esterilizada o no, y si ha sido automedicado",Registro de automedicacion previa,Salud y bienestar,Campo nuevo en RF-02,EV-05,Morales Sanchez Gary Alejandro
"Cuando son braquiocefalicos... pueden tener problemas respiratorios, y la predisposicion... como el pastor aleman",Alerta etica/bienestar por predisposicion racial,Explicabilidad IA,RNF-13 candidato directo,EV-05,Morales Sanchez Gary Alejandro
"Que datos de la mascota considera sensibles? Sobre todo, la edad",Sensibilidad de la edad como dato especifico,Privacidad,Refuerza RF-11,EV-05,Morales Sanchez Gary Alejandro
"Datos personales como el nombre, raza, edad, vacunas, signos vitales, temperatura y peso al entrar a la veterinaria",Campos clinicos especificos: signos vitales/temperatura/peso,Salud y bienestar,Campo nuevo en RF-02,EV-05,Morales Sanchez Gary Alejandro
Se puede sacar de algun registro de alguna plataforma virtual ya que hoy en dia se utilizan mucho,Mencion de plataforma virtual como registro alternativo al carnet fisico,Seguimiento preventivo,Refuerza RF-14/RNF-08,EV-05,Morales Sanchez Gary Alejandro
Nos fijamos en que la persona cuente con un sueldo mas o menos estable y que tenga domicilio propio,Criterio socioeconomico/vivienda en adopcion responsable,Adopcion responsable,RF-18 candidato,EV-05,Morales Sanchez Gary Alejandro
La casa que tenga cerramiento y que la vivienda sea propia,Verificacion de condiciones del hogar antes de adopcion,Adopcion responsable,RF-18 candidato,EV-05,Morales Sanchez Gary Alejandro
"La raza y el pedigree (genealogia), y que no exista parentesco, es decir que vengan de la misma mama",Exigencia de ausencia de parentesco antes de cruce,Compatibilidad y cruza,Refuerza RF-16,EV-05,Morales Sanchez Gary Alejandro
"Pueden llegar a presentar deformidad, polidactilia, ciclope o el sindrome de la foca",Malformaciones congenitas graves por cruces irresponsables,Explicabilidad IA,RNF-13 candidato directo,EV-05,Morales Sanchez Gary Alejandro
"Me fijo si come normal, si esta animada, si camina bien o si tiene algun cambio fisico",Deteccion conductual individualizada de enfermedad,Salud y bienestar,Refuerza RF-02,EV-06,Morales Sanchez Gary Alejandro
"A veces anoto en el celular o espero que la veterinaria me avise, pero si me ha pasado que olvido alguna fecha",Fragilidad del registro manual / olvido de fechas,Seguimiento preventivo,Refuerza RF-14/RNF-08,EV-06,Morales Sanchez Gary Alejandro
Si es agresiva o si tiene algun antecedente que pueda representar un riesgo,Antecedente de agresividad como filtro de riesgo,Compatibilidad y cruza,Refuerza RF-04/RF-23,EV-06,Morales Sanchez Gary Alejandro
"Saber si convive bien con otras mascotas, ninos o personas",Convivencia con ninos/personas como filtro adicional,Compatibilidad y cruza,Refuerza RF-04,EV-06,Morales Sanchez Gary Alejandro
Tambien considero si tengo tiempo para cuidarla y si puedo asumir los gastos,Filtro por carga de cuidado esperada,Compatibilidad y cruza,Refuerza RF-04,EV-06,Morales Sanchez Gary Alejandro
"Respuesta abierta: 'Una funcion que permita la verificacion de los propietarios de mascotas con su respectivo DNI, asi mismo de las mascotas, hay paises donde los animales... tienen identificacion tambien'",Verificacion cruzada de identidad humana y animal,Confianza y verificacion,Refuerza RF-12 y RF-21,EV-07,Morales Sanchez Gary Alejandro
Recepcion y sala de espera con formularios fisicos de ingreso previos a la consulta,"Flujo fisico de atencion: recepcion, espera, evaluacion",Adopcion responsable,Contexto de linea base (proceso actual),EV-08,Morales Sanchez Gary Alejandro
Registro de informacion del perro en formulario fisico y en computadora de la veterinaria (sistema propio de la clinica),Registro de informacion en sistema digital propio de la clinica,Seguimiento preventivo,"Refuerza RF-02/RF-14, contexto para RD-08",EV-08,Morales Sanchez Gary Alejandro
Perro con placa fisica de identificacion; exhibidor de venta de placas para mascotas en la clinica,Uso de placas fisicas de identificacion como alternativa/complemento al microchip,Confianza y verificacion,Refuerza RF-21,EV-08,Morales Sanchez Gary Alejandro
"Perro en recuperacion hospitalaria por parvovirus, en area separada de cuidados hospitalarios",Enfermedades contagiosas graves requieren aislamiento y cuidados hospitalarios prolongados,Salud y bienestar,Refuerza RF-23 (evidencia observacional directa),EV-08,Morales Sanchez Gary Alejandro
"Procedimientos observados: esterilizacion de gato, ecografia, ozonoterapia, atencion de emergencia",Procedimientos clinicos especializados requieren registro detallado por tipo de intervencion,Salud y bienestar,Campo nuevo en RF-02 (tipo de procedimiento),EV-08,Morales Sanchez Gary Alejandro
Sus mascotas se muestran distantes y decaidas cuando presentan una enfermedad,Deteccion conductual individualizada de enfermedad,Salud y bienestar,Refuerza RF-02 (campo de conducta basal),EV-09,Morales Sanchez Gary Alejandro
Chequeos medicos de rutina cada seis a ocho meses,Rutina de controles preventivos periodicos,Seguimiento preventivo,Refuerza RF-10,EV-09,Morales Sanchez Gary Alejandro
Evita el contacto cuando observa signos evidentes de enfermedades contagiosas,Filtro de riesgo sanitario para interaccion,Salud/Compatibilidad,Refuerza RF-04,EV-09,Morales Sanchez Gary Alejandro
Su divulgacion publica... ha derivado en casos de animales envenenados,Riesgo social por exposicion de enfermedades contagiosas,Privacidad,RNF-09 (Seguridad/confidencialidad ampliada),EV-09,Morales Sanchez Gary Alejandro
Estafas... se solicitan pagos sucesivos por concepto de envio,Riesgo de fraude en adopciones remotas,Confianza y verificacion,RF-23 candidato,EV-09,Morales Sanchez Gary Alejandro
Exige revisar el historial de vacunas... rechaza cruces entre ejemplares de tamanos dispares,Checklist etico-sanitario previo a cruza,Compatibilidad y cruza,Refuerza RF-06/RF-08,EV-09,Morales Sanchez Gary Alejandro
Periodo de observacion de medio dia a un dia antes de veterinario,Observacion previa a derivacion clinica,Salud y bienestar,Refuerza RF-02,EV-10,Morales Sanchez Gary Alejandro
Ha extraviado la libreta en varias ocasiones... fragmenta el historial,Fragilidad del registro manual / olvido de fechas,Seguimiento preventivo,Refuerza RF-14 y RNF-08,EV-10,Morales Sanchez Gary Alejandro
Esperas de tres a cuatro horas... gastos superiores a cincuenta dolares,Barrera de olvido y costo en seguimiento preventivo,Seguimiento preventivo,RF-23 candidato (triage),EV-10,Morales Sanchez Gary Alejandro
Tipo de sangre... conveniente compartir unicamente con el profesional veterinario,Control granular de visibilidad medica,Privacidad,"Refuerza RD-02, alimenta 3.4 legal",EV-10,Morales Sanchez Gary Alejandro
"Desistio... por exigencia excesiva de informacion personal (financieros, estado civil)",Friccion por sobre-solicitud de datos personales,Privacidad,RL-05/RD-04 (minimizacion de datos),EV-10,Morales Sanchez Gary Alejandro
Criterio principal la semejanza de tamano entre ambos ejemplares,Criterios de compatibilidad: temperamento/edad/tamano,Compatibilidad y cruza,Refuerza RF-06,EV-10,Morales Sanchez Gary Alejandro
La responsabilidad sobre las crias depende de los acuerdos pactados,Acuerdo de responsabilidad post-cruza,Confianza y verificacion,RF-22 candidato,EV-10,Morales Sanchez Gary Alejandro
Por WhatsApp y notificaciones... una semana antes y un dia antes,Canal y anticipacion de recordatorios,Seguimiento preventivo,Refuerza RF-10 (implementacion),EV-11,Morales Sanchez Gary Alejandro
Deberia ser con permiso del dueno... solo a veterinarios y adoptante verificado,Control granular de visibilidad medica,Privacidad,Refuerza RF-11,EV-11,Morales Sanchez Gary Alejandro
En varios pasos:... el software deberia mostrar el estado de cumplimiento de cada paso,Flujo de adopcion por etapas con estado visible,Adopcion responsable,RF-18 candidato fuerte,EV-11,Morales Sanchez Gary Alejandro
"Mostrando todo de forma clara, senalando posibles riesgos y recomendando la revision de un veterinario",Explicacion de riesgos en recomendacion de compatibilidad,Explicabilidad IA,RNF-13 candidato directo,EV-11,Morales Sanchez Gary Alejandro
Que se suban certificados veterinarios... y que un veterinario registrado los valide,Exigencia de pruebas serologicas/infecciosas antes de cruce,Confianza y verificacion,RF-19 candidato,EV-11,Morales Sanchez Gary Alejandro
Considera util que la gente conozca sus problemas de salud... por si llega a perderse,Apertura informativa para identificacion en perdida,Privacidad (contraste),RF-25 candidato (mascota perdida),EV-12,Morales Sanchez Gary Alejandro
Que no tenga enfermedades graves... debido a su falta de tiempo,Filtro por carga de cuidado esperada,Compatibilidad y cruza,Refuerza RF-04,EV-12,Morales Sanchez Gary Alejandro
Esa decision debe tomarla un veterinario... puede evaluar si ambas mascotas son compatibles,Rol humano de respaldo sobre decision automatica,Explicabilidad IA,RNF-13 candidato directo,EV-13,Morales Sanchez Gary Alejandro
Funcion de 'citas' en areas verdes para que... podamos socializar,Funcion social de encuentros supervisados,Nuevo modulo,RF-20 candidato,EV-13,Morales Sanchez Gary Alejandro
Los datos de la mascota en si no requieren privacidad... lo privado son los del dueno,Asimetria de sensibilidad dueno vs. mascota,Privacidad,Alimenta 3.4 legal,EV-14,Morales Sanchez Gary Alejandro
Su comportamiento social... origen/historia... discapacidades no informadas,Transparencia de historial conductual y de origen,Adopcion responsable,Refuerza RF-03/RF-05,EV-14,Morales Sanchez Gary Alejandro
Garantizar el linaje/pedigree si se busca mantener la raza,Exigencia de ausencia de parentesco antes de cruce,Compatibilidad y cruza,Refuerza RF-16,EV-14,Morales Sanchez Gary Alejandro
Antecedentes medicos que tuvo con los duenos anteriores,Historial heredado de duenos anteriores,Salud y bienestar,Refuerza RF-02,EV-15,Morales Sanchez Gary Alejandro
Riesgos en la reproduccion si las edades no son las optimas,Riesgo por edad reproductiva inadecuada,Compatibilidad y cruza,Alimenta RNF-13,EV-15,Morales Sanchez Gary Alejandro
Ubicacion exacta... placa con el nombre y numero de telefono del dueno,Sensibilidad de ubicacion e identificacion de contacto,Privacidad,RNF-09/RL-05 candidato,EV-15,Morales Sanchez Gary Alejandro
Con el carnet... quien la aplico y el seguimiento del veterinario,Trazabilidad del aplicador de vacuna,Seguimiento preventivo,Campo nuevo en RF-02,EV-15,Morales Sanchez Gary Alejandro
Puede causar que la mascota se atasque en el canal uterino... por diferencias de tamano,Malformaciones congenitas graves por cruces irresponsables,Explicabilidad IA,RNF-13 candidato directo,EV-15,Morales Sanchez Gary Alejandro
"Los detalles exactos del carnet de vacunas (cepa, marca del biologico y fecha)",Trazabilidad de cepa/lote de vacuna,Seguimiento preventivo,RF-24 candidato,EV-16,Morales Sanchez Gary Alejandro
Los datos de contacto... y la informacion contenida en el chip intradermico,Sensibilidad del identificador de chip,Privacidad,RF-21 candidato,EV-16,Morales Sanchez Gary Alejandro
Hacer una visita al lugar... firmar una carta de compromiso... mantener un contacto periodico,Seguimiento post-adopcion estructurado,Adopcion responsable,RF-22 candidato fuerte,EV-16,Morales Sanchez Gary Alejandro
Es una raza que... no se deberia seguir reproduciendo porque son perritos que vienen con problemas,Alerta etica/bienestar por predisposicion racial,Explicabilidad IA,RNF-13 candidato directo,EV-16,Morales Sanchez Gary Alejandro
Da mas peso al comportamiento real que a la informacion previa sobre la raza,Evaluacion conductual mediante lenguaje corporal,Compatibilidad y cruza,Alimenta tipo de explicacion (por ejemplos) en RNF-13,EV-17,Morales Sanchez Gary Alejandro
"Si su nariz, que usualmente es humeda y brillosa, se presenta reseca",Indicadores fisicos de estado general,Salud y bienestar,Refuerza RF-02,EV-18,Morales Sanchez Gary Alejandro
"Protege... la ubicacion y rutina de su mascota, ya que... sufrio el robo de su perro",Riesgo de seguridad fisica por exposicion de ubicacion,Privacidad,RNF-09/RD-04,EV-18,Morales Sanchez Gary Alejandro
"Sugiere agregar dos filtros adicionales: tamaño y temperamento, para evitar encuentros con mascotas de temperamento agresivo",Filtros de tamaño y temperamento para evitar encuentros agresivos,Compatibilidad y cruza,RF-04 candidato de mejora,EV-19,Morales Sanchez Gary Alejandro
Señala que la validación profesional brinda mayor tranquilidad y confianza a otros propietarios al consultar el perfil,Validación profesional aumenta la confianza del adoptante,Confianza y verificación,Refuerza RF-09,EV-19,Morales Sanchez Gary Alejandro
"Podría ocultar una enfermedad puntual por pudor, más que por considerarla información sensible en sí misma","Ocultamiento de datos de salud por pudor, no por sensibilidad objetiva",Privacidad,Matiza RF-11,EV-19,Morales Sanchez Gary Alejandro
"NO lo reemplazaría por completo: considera que el formato digital podría ser manipulable, preferiría seguir usando el carnet físico",Desconfianza en la integridad del carnet digital (riesgo de manipulación),Seguimiento preventivo,Matiza RF-14/RNF-08,EV-19,Morales Sanchez Gary Alejandro
Sugiere añadir un apartado adicional para cargar un 'carnet de enfermedades hereditarias' de la mascota,Carnet específico de enfermedades hereditarias como documento adicional,Salud y bienestar,RF-16/RF-24 candidato,EV-19,Morales Sanchez Gary Alejandro
"La tarea sería relativamente compleja de completar, pero con apoyo de un veterinario sí sería posible reunir la información",Dificultad práctica para completar antecedentes genéticos de mascotas mestizas/callejeras,Compatibilidad y cruza,Refuerza RF-16,EV-19,Morales Sanchez Gary Alejandro
Sugiere reforzarlo con filtros o etiquetas visibles que indiquen claramente la disponibilidad de cada mascota,Etiquetas visuales de disponibilidad (adopción/cruza) en la publicación,Adopción responsable,Refuerza RF-13,EV-19,Morales Sanchez Gary Alejandro
"Necesitaría ver, además: estabilidad económica del solicitante, capacidad de cuidado, y características del ambiente donde viviría la mascota",Filtro por capacidad y responsabilidad del adoptante,Adopción responsable,Refuerza RF-05/RF-18,EV-20,Morales Sanchez Gary Alejandro
"En zonas que considera riesgosas (posible uso de mascotas para peleas), ocultaría el estado de salud y la ubicación",Privacidad sensible al contexto geográfico (zonas de riesgo),Privacidad,RF-11/RNF-16 candidato de mejora,EV-20,Morales Sanchez Gary Alejandro
Pregunta si el tipo de mascota se limita a 'perro' y 'gato'... sugiere permitir selección múltiple de especie en el filtro,Necesidad de selección múltiple de especie/interés en filtros,Compatibilidad y cruza,RF-04 candidato de mejora,EV-20,Morales Sanchez Gary Alejandro
"La mayoría de sus mascotas son adoptadas y no de raza, por lo que desconoce su linaje o parentesco real",Dificultad práctica para completar antecedentes genéticos de mascotas mestizas/callejeras,Compatibilidad y cruza,Refuerza RF-16,EV-20,Morales Sanchez Gary Alejandro
"Definitivamente lo reemplazaría, ya que le facilitaría las consultas veterinarias",Mención de plataforma virtual como registro alternativo al carnet físico,Seguimiento preventivo,Refuerza RF-14/RNF-08,EV-20,Morales Sanchez Gary Alejandro
Sugiere agregar también el tamaño de la mascota como dato visible,Tamaño como dato visible adicional en el perfil,Salud y bienestar,RF-03 candidato de mejora,EV-21,Morales Sanchez Gary Alejandro
Sugiere incluir como dato adicional visible las enfermedades hereditarias que pueda tener la mascota,Visibilidad de enfermedades hereditarias en la solicitud de adopción,Adopción responsable,RF-05 candidato de mejora,EV-21,Morales Sanchez Gary Alejandro
"Duda inicial sobre si podrían integrarse mensajes vía WhatsApp; al aclararse que es un canal interno, confirma su preferencia",Confusión inicial sobre alcance del canal de chat interno,Confianza y verificación,Matiza RF-07,EV-21,Morales Sanchez Gary Alejandro
"A veces sería difícil de completar, tanto por mascotas adoptadas sin información disponible como porque los dueños olvidan solicitar esos datos",Dificultad práctica para completar antecedentes genéticos de mascotas mestizas/callejeras,Compatibilidad y cruza,Refuerza RF-16,EV-21,Morales Sanchez Gary Alejandro
"Reitera su objeción de fondo: considera que no se debería incentivar la funcionalidad de cruza, ya que personas con malas intenciones podrían usarla como negocio",Objeción ética a incentivar la funcionalidad de cruza por riesgo de lucro,Confianza y verificación,Discrepancia relevante para RD/3.5,EV-22,Morales Sanchez Gary Alejandro
Señala como datos sensibles la cantidad de partos que ha tenido la mascota y si pertenece a una raza pura,Cantidad de partos y pureza racial como datos sensibles,Privacidad,Refuerza RF-11,EV-22,Morales Sanchez Gary Alejandro
Observación relevante de restricción de diseño: el registro debería limitarse a personas mayores de 18 años,Restricción de edad mínima (18 años) para registro de cuenta,Confianza y verificación,RD-10 candidato,EV-22,Morales Sanchez Gary Alejandro
"Ese dato es bastante complicado de obtener, ya que la mayoría de mascotas que pasan por adopción son mestizas y provienen de situación de calle o abandono",Dificultad práctica para completar antecedentes genéticos de mascotas mestizas/callejeras,Compatibilidad y cruza,Refuerza RF-16,EV-22,Morales Sanchez Gary Alejandro
"El papeleo relacionado con el proceso, asi como la comunicacion con el anterior dueno o con quien entrega la mascota en adopcion",Barrera de papeleo y comunicacion con el dueno anterior en adopcion,Adopcion responsable,RF-18/RF-22 candidato de mejora,EV-23,Morales Sanchez Gary Alejandro
"Evitar el uso indebido o repetitivo de una mascota, lo que consideraria una forma de maltrato animal",Riesgo de maltrato animal por cruces repetitivos de la misma mascota,Compatibilidad y cruza,RF-27 (origen directo),EV-23,Morales Sanchez Gary Alejandro
"Usaria ambos formatos en conjunto: el carnet fisico y el digital, seria util como respaldo ante casos frecuentes de perdida del carnet fisico",Carnet digital como respaldo complementario ante perdida del fisico,Seguimiento preventivo,Matiza RF-14/RNF-08,EV-23,Morales Sanchez Gary Alejandro
"El chat deberia habilitarse unicamente despues de que la solicitud sea aceptada por el propietario, y no estar disponible desde el momento del envio",Restriccion temporal de apertura de chat hasta aceptacion de solicitud,Confianza y verificacion,RF-09 candidato de mejora,EV-23,Morales Sanchez Gary Alejandro
"Sugirio que la consulta con un veterinario calificado sea obligatoria antes de proceder, mas alla del aviso orientativo ya presente en la pantalla",Exigencia de consulta veterinaria obligatoria antes de concretar cruza,Compatibilidad y cruza,RF-06/RF-19 candidato de mejora,EV-23,Morales Sanchez Gary Alejandro
Sugirio incorporar la carga de un documento que valide la raza de la mascota,Validacion documental de raza mediante carga de certificado,Confianza y verificacion,RF-01/RF-16 candidato de mejora,EV-23,Morales Sanchez Gary Alejandro
Aspecto a reforzar: la veracidad del temperamento reportado de las mascotas en los filtros de busqueda,Exigencia de veracidad en el temperamento reportado en filtros de busqueda,Compatibilidad y cruza,RF-04 candidato de mejora,EV-23,Morales Sanchez Gary Alejandro
"Que el cruce se realice en un buen ambiente, sin negligencia, y que ambas mascotas esten aptas (buena salud y control de vacunas al dia)",Checklist etico-sanitario previo a cruza,Compatibilidad y cruza,Refuerza RF-06/RF-08,EV-23,Morales Sanchez Gary Alejandro
Riesgo de un mal diagnostico y de medicacion inadecuada... si no se conoce el estado de vacunacion o desparasitacion,Riesgo de diagnostico erroneo y medicacion inadecuada por informacion insuficiente,Salud y bienestar,Refuerza RF-02/RNF-06,EV-24,Morales Sanchez Gary Alejandro
"Los cachorros requieren mas vacunas, socializacion y energia; los adultos mayores requieren controles mas frecuentes por problemas articulares, renales y cardiacos",Diferenciacion de necesidades de cuidado por etapa etaria,Salud y bienestar,Campo nuevo en RF-02 (etapa de vida),EV-24,Morales Sanchez Gary Alejandro
"Cada raza tiene predisposicion a ciertas afecciones, lo que influye en la alimentacion, el ejercicio y el cuidado del pelaje","Predisposicion racial condiciona alimentacion, ejercicio y cuidado del pelaje",Salud y bienestar,RF-02 candidato de mejora,EV-24,Morales Sanchez Gary Alejandro
"Requiere tiempo, recursos economicos, un espacio adecuado y compromiso de cuidado a largo plazo, no una decision por impulso","Criterios de adopcion responsable: tiempo, recursos y compromiso a largo plazo",Adopcion responsable,Refuerza RF-18,EV-24,Morales Sanchez Gary Alejandro
"Las adopciones informales suelen carecer de seguimiento y de esterilizacion completa, y aumentan el maltrato, el abandono y la sobrepoblacion",Riesgos de bienestar animal por adopciones informales sin seguimiento,Adopcion responsable,RF-22 candidato fuerte,EV-24,Morales Sanchez Gary Alejandro
Podria funcionar mejor un sistema donde la informacion sea validada mediante otros colegas,Validacion medica por pares veterinarios (segunda opinion),Confianza y verificacion,RF-26 (origen directo),EV-24,Morales Sanchez Gary Alejandro
"Preferiria verificar la informacion aparte de sus propios registros, ya que la considera manejable y manipulable como referencia clinica unica",Desconfianza profesional en el carnet digital como referencia clinica unica,Seguimiento preventivo,Matiza RF-14/RNF-08,EV-24,Morales Sanchez Gary Alejandro
"Esta informacion seria insuficiente para emitir una opinion profesional, ya que siempre es relevante poder observar y evaluar fisicamente al animal",Insuficiencia del perfil digital para diagnostico sin examen fisico presencial,Explicabilidad IA,Matiza RF-03; alimenta RNF-13,EV-24,Morales Sanchez Gary Alejandro
Deberian mantenerse restringidos los datos sobre enfermedades y los datos personales del propietario,Control granular de visibilidad medica,Privacidad,Refuerza RF-11,EV-24,Morales Sanchez Gary Alejandro
