"Marca temporal","1. Tipo de usuario ","  2. ¿Actualmente posee una mascota?  ","3. ¿Qué tan importante considera registrar el historial de vacunación de una mascota?","4. ¿Qué tan importante considera registrar las desparasitaciones realizadas?","5. ¿Qué tan importante considera registrar enfermedades o condiciones médicas previas?","6. ¿Qué tan importante considera mostrar fotografías actualizadas de la mascota?","7. ¿Qué tan importante considera conocer la edad de la mascota?","8. ¿Qué tan importante considera conocer la raza de la mascota?","9. ¿Qué tan importante considera verificar la identidad de los usuarios?","10. ¿Qué tan importante considera que la información médica sea validada por una veterinaria?","11. ¿Qué tan importante considera disponer de un sistema de mensajería entre usuarios?","12. ¿Qué tan importante considera disponer de filtros para buscar mascotas según edad, raza o ubicación?","13. ¿Qué tan importante considera evaluar la compatibilidad entre mascotas antes de una cruza (considerando aspectos como raza, edad, estado de salud y antecedentes genéticos)? ","14. ¿Qué tan importante considera proteger la privacidad de la información de los propietarios?","15. ¿Cuál considera que es el principal problema de los procesos actuales de adopción o cruza de mascotas?  ","16. ¿Qué funcionalidad considera indispensable para una plataforma como MundiPets?  ","17. ¿Qué información considera indispensable visualizar antes de adoptar una mascota?","18. ¿Qué información considera indispensable visualizar antes de realizar una cruza?"
"2026/07/27 10:01:15 p. m. GMT-5","Propietario de mascota","Sí","5","5","3","4","5","2","5","5","5","5","5","5","La seguridad de los animales ","Una función que permita la verificación de los propietarios de mascotas con su respectivo dni, así mismo de las mascotas, hay países donde los animales sobre todo los perros tienen identificación también.","Toda la ficha médica.","Datos del animal y del usuario "
"2026/07/27 10:04:01 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","5","5","5","5","4","4","5","5","No se tiene la información completa e historial de la mascota ","Acceso completo sobre vida de la mascota ","Su historial médico ","Si historial de vida, salud "
"2026/07/27 10:08:33 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","3","5","5","4","5","4","4","5","5","Poca información ","La información sea clara ","Edad, raza, motivo porque está en adopción ","La raza"
"2026/07/27 10:11:17 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","3","5","5","5","5","3","5","5","5","Muchos no tienen interés en tener una mascota
","Practica","Que no este con enfermedades","Enfermedades verificar q tenga las vacunas"
"2026/07/27 10:12:59 p. m. GMT-5","Interesado en adopción","Sí","5","5","5","5","4","2","5","5","5","5","5","5","La información de la mascota, si tiene enfermedades, vacunas puestas, enfermedades hereditarias","Que se priorice la bienestar de la mascota, teniendo información de usuarios que adopten","Su registro de enfermedades o patologías que tenga, así como si sus vacunas están al día, para yo poder tener una idea que es lo que necesite para poder adoptar","Fotos de la mascota actualmente y registros de patologías hereditarias "
"2026/07/27 10:14:17 p. m. GMT-5","Propietario de mascota","Sí","4","4","5","4","4","5","5","5","4","5","5","5","El hecho de no conocer la raza de los mismos","Registro de mascotas","Tiempo libre, economía , lugar","Personalidad de mi mascota "
"2026/07/27 10:18:29 p. m. GMT-5","Propietario de mascota","Sí","2","3","2","4","1","3","4","2","3","3","5","3"," No los cuidan ","No","Ninguna ","Observar "
"2026/07/27 10:21:25 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","3","5","4","4","5","4","4","4","5","Las personas se fijan en al raza ","Variedad ","El estado de salud del animalito ","La salud "
"2026/07/27 10:24:01 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","4","5","4","4","3","5","5","5","Información ","Actualización de datos ","Antecedentes de enfermedades ","Raza sea la
Misma"
"2026/07/27 10:32:14 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","2","4","5","5","5","5","5","5","5","Falta de conocimiento","Raza","Edad","Raza"
"2026/07/27 10:36:11 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","4","5","5","5","Desconozco el proceso ","","Historial clínico de la mascota","Estado de salud de ambos"
"2026/07/27 10:49:29 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","2","3","2","5","5","3","3","5","5","El fin de estos procesos, muchas personas no tienen ni corazón ni la responsabilidad que conlleva adoptar una mascota o cruzarlas, muchas veces estas mascotas caen en personas irresponsables ","La adopción responsable y ayuda a las mascotas en las calles o que sufren alguna maltrato y así poder ayudar","Su carnet, para así poder ver qué le hace falta a la mascota, o incluso si tiene alguna enfermedad como tratarlo","La edad, la raza y si antes la hembra ya tuvo partos"
"2026/07/27 10:54:36 p. m. GMT-5","Interesado en cruza","No","5","5","5","4","5","5","5","5","5","5","5","5","Nada ","","",""
"2026/07/28 4:22:30 a. m. GMT-5","Interesado en adopción","No","5","5","5","5","5","5","5","3","4","3","4","2","No saber Los costos ","Los costos ","Cuánto va a costar el proceso ",""
"2026/07/28 8:08:10 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","3","5","5","5","5","5","5","","","",""
"2026/07/28 9:03:56 a. m. GMT-5","Interesado en cruza","No","5","5","5","5","5","5","5","5","5","5","5","5","No tengo mascotas ","No tengo mascotas ","No quiero adoptar ","No tengo mascotas "
"2026/07/28 9:05:32 a. m. GMT-5","Propietario de mascota","Sí","2","2","3","3","3","3","2","3","2","3","3","3","Que dejan adoptar a cualquiera ","La atención ","El estado del animal ","Todo"
"2026/07/28 9:07:46 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","3","5","4","4","5","3","5","5","4","Adopción sin evaluación adecuada ","Que si va a adoptar s un perrito o mascota saber la información de la persona quien vs a adoptar al animalito","Si es una buena persona su forma de vivir etc","La edad"
"2026/07/28 9:11:00 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","5","4","5","5","4","5","4","4","Falta de seguimientos y en la cruza son irresponsables con tal de ganar dinero.","Filtro de adopción y seguimiento responsable ","Que el animal esté sano y que el dueño tenga el espacio y las capacidades para cubrir las necesidades del animal. ","Salud y bienestar del animal y su edad "
"2026/07/28 9:11:09 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","5","5","5","5","3","3","3","5","Es que a veces no hay familias que seas responsables ","Nose ","Tener un buen lugar ","Que el perro sea de la misma raza"
"2026/07/28 9:14:57 a. m. GMT-5","Propietario de mascota","Sí","5","4","4","3","4","4","3","4","2","4","4","4","La falta de transparencia y verificación sobre el estado de salud e historial médico de la mascota, sumado a la informalidad del proceso y la falta de seguimiento seguro para garantizar el bienestar animal.","Verificación de perfiles (usuarios e historial médico/vacunas de las mascotas), filtros avanzados de búsqueda (ubicación, raza, edad, temperamento) y un sistema de chat seguro para la comunicación directa entre las partes","Carné de vacunación y desparasitación al día, estado de esterilización, historial médico previa, nivel de energía/temperamento y su compatibilidad con niños u otras mascotas.","Pruebas de salud veterinarias recientes (descarte de enfermedades transmisibles o genéticas), carné de vacunación al día, árbol genealógico/raza y comportamiento del ejemplar."
"2026/07/28 9:16:05 a. m. GMT-5","Interesado en adopción","No","5","5","5","4","5","5","4","5","5","5","5","5","Costos elevados y trámites burocráticos","Facilidad de acceso ","Conducta y salud del animal ","Acuerdos"
"2026/07/28 9:16:10 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","5","3","4","5","3","2","4","3","O mercado negro, fazem isso apenas pela venda ","Orientações sobre vacinação ","Comportamento, e que tamanho fica a raça ","A saúde do animal"
"2026/07/28 9:18:10 a. m. GMT-5","Propietario de mascota","Sí","5","4","5","4","4","4","4","4","3","4","5","4","La falta de información y el estado en la que se encuentran las mascotas ","Muy indispensable para las personas que nos gusta cuidar de nuestras mascotas ","El estado actual de la mascota y la edad ","La raza de la mascota para ver si es la misma de mi mascota "
"2026/07/28 9:18:36 a. m. GMT-5","Interesado en adopción","No","4","4","4","3","4","4","4","4","4","4","5","4","El poco conocimiento y la poca información ","Verificar si las personas que van a adoptar van a ser responsables de su cuidado y están en capacidad de hacerlo ","El historial veterinario y que tan amigable es por si tiene que relacionarse con niños ","Conocer el estado de salud de ambas mascotas "
"2026/07/28 9:22:33 a. m. GMT-5","Propietario de mascota","Sí","4","4","4","4","4","4","4","4","4","4","4","4","No hacen el proceso de manera correcta ","Vacunas","La raza ","La raza"
"2026/07/28 9:22:46 a. m. GMT-5","Propietario de mascota","Sí","5","5","4","5","5","1","5","5","4","5","4","5","La falta de compromiso de quien adopta una mascota ","Mejoraría la verificación de quien adopta una mascota para asegurar que las mascotas lleguen a hogares responsables ","Antes de adoptar una mascota es indispensable contar con tiempo. recursos económicos espacios adecuados y el compromiso de cuidarla todo la vida ","Es indispensable conocer el estado de salud de ambos gatos salud vacunas enfermedades hereditarias y asegurarse que la cruza sea responsable y beneficie el bienestar de los animales "
"2026/07/28 9:24:12 a. m. GMT-5","Propietario de mascota","Sí","5","4","5","5","5","3","4","4","4","4","4","3","La flta de información ","Información de temas como la importancia de saber que razas pueden o no cruzarse ","Seguridad de que sera una prioridad en el hogar ","No lo se"
"2026/07/28 9:32:09 a. m. GMT-5","Interesado en adopción","No","1","2","2","2","3","3","3","4","4","4","4","5","Es la de adaptación ","La de dar seguimiento a las adoccion ","El estado del adoctador ","Si son compatibles sus genes"
"2026/07/28 9:35:24 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","4","4","5","5","2","4","5","5","Desconocer la raza","Zonificación y datos veterinarios de haberlos ","Información de salud ","Tipos de razas"
"2026/07/28 9:35:51 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","1","5","5","4","5","4","5","La irresponsabilidad ","Importante ","Que tengan como mantenerlo","No lo creo importante "
"2026/07/28 9:40:54 a. m. GMT-5","Interesado en cruza","No","5","5","5","5","5","5","5","5","5","5","5","5","En realidad lo realizan pero no creo que se deberia","Puede ser","Ser reaponsablea con sus mascotas"," Nose. Podria ser  esten de acuerdo loa propietarios y los amimalito eaten sanos"
"2026/07/28 9:50:00 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","5","5","5","5","El principal problema es la raza","Sería el historial médico ","Lo más importante es que tenga todas sus vacunas ! La edad y raza","Que sea de la misma raza"
"2026/07/28 9:50:31 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","5","4","5","5","4","5","5","3","Poca información ","Información actualizada ","Antecedentes de la mascota ","Raza y enfermedades "
"2026/07/28 9:54:18 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","5","5","5","5","La falta de información ","De fácil comprensión, que tenga sugerencias de cuidado basado en la edad y la raza de la mascota (alimentación, limpieza, salud ) una función que permita llevar un registro medico, ""ejemplo"" que te diga cuando lo desparasitaste y cuando le toca hacerlo de nuevo, un calendario de vacunas es muy importante.","registro de vacunas, salud general de la mascota, edad. ","genética de la mascota, compatibilidad, edad, tener fotos de los padres de la mascota, visualmente que la mascota se vea apta para el cruce"
"2026/07/28 10:14:30 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","5","5","4","5","4","4","5","4","La falta de control de educación responsable, esto hace q se abandone y reproducción indiscriminadamente de animales y enfermedades por la cruza de animales ","Que informe adopción y recomendaciones para la cruza de razas ","Las razones porque es la adopcion","Edad, raza, estado de salud "
"2026/07/28 10:24:40 a. m. GMT-5","Propietario de mascota","Sí","4","4","5","3","4","3","4","5","3","2","3","4","Cuando la persona decide adoptar una mascota es porque ya tiene programado su adopción ","Virtual.","Antecedentes de la mascota.","Las personas que lo van hacer."
"2026/07/28 10:30:39 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","3","4","4","3","4","3","3","3","3","El tamaño de la mascota y el espacio","Registro de información individual de la mascota ","El tamaño y sexo","El tamaño de la mascota "
"2026/07/28 11:56:52 a. m. GMT-5","Propietario de mascota","Sí","3","4","3","2","4","2","4","3","3","3","3","4","Perros agresivos","La seguridad de la mascota","Sexo del animal y raza","La edad de la mascota"
"2026/07/28 3:46:41 p. m. GMT-5","Interesado en cruza","No","5","5","5","4","5","5","5","5","5","5","5","5","No tengo conocimiento al respecto ","No se","Si tiene todas las vacunas ","La salud de las mascotas "
"2026/07/28 4:36:35 p. m. GMT-5","Propietario de mascota","Sí","5","5","4","4","3","3","3","5","3","3","4","4","Muchas veces no cuidan bien de las mascotas…","Dar seguimiento para asegurarse que están cuidando bien de las mascotas…","Si le van a dar los cuidados necesarios y visitar el domicilio…","Con que fin quieren realizar la cruza…"
"2026/07/28 9:47:27 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","3","2","4","5","5","4","5","5","Personas no interesadas.","Información de la mascota.","Fotografías, estado de salud actual.","Vacunaciones."
"2026/07/29 6:13:55 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","4","4","5","4","Falta de espacio en domicilio y falta de recursos económicos ","No se ","No se ","No se "
"2026/08/15 5:26:48 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","5","5","5","5","No she","Noshe","Noshe","La raza"
"2026/08/15 5:27:57 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","4","4","5","5","4","4","5","5","trámite lento y falta de información importante de la mascota como el historial médico ","filtros de búsqueda e información verificada","historial médico","compatibilidad, historial médico"
"2026/08/15 5:31:10 p. m. GMT-5","Interesado en cruza","No","3","4","4","4","5","4","4","5","5","5","5","4","De saber si está bien o mal de salud","Revisión médica de la mascota ","En saber que tipo de mascotas quieres adoptar ","Ver cómo está la mascota "
"2026/08/15 7:06:28 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","4","4","5","5","La sobrepoblación de mascotas, terminan en abandono.
No debe existir ningún proceso de cruza.
En caso de existir las adopciones con responsabilidad es primordial ","Siempre el respeto a la vida ","Que no son objetos, que deben tener paciencia y recursos para solventar todos los gastos que requieren. ","Estoy en contra de la reproducción de los perros y gatos "
"2026/08/16 12:15:03 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","5","5","5","5","información sin verificar","filtro de búsqueda","historial médico","compatibilidad"
"2026/08/16 12:17:26 a. m. GMT-5","Interesado en adopción","No","5","5","5","4","4","4","5","5","5","5","5","5","Que el trámite o el proceso sea lento","Información Verificada de la mascota","Estado de la mascota y su historial médico","El estado de la mascota y la compatibilidad entre razas"
"2026/08/16 12:25:04 a. m. GMT-5","Interesado en cruza","Sí","5","5","5","5","5","5","5","5","5","5","5","5","Falta de historial completo de las mascotas","Filtros de búsqueda, descripción completa de la mascota","Estado de la mascota e Historial de enfermedades","Compatibilidad entre las razas e Historial de enfermedades para prevenir posibles riesgos"
"2026/08/16 12:28:27 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","5","5","5","5","El trámite puede llegar a ser lento. ","Información completa de la mascota actualizada","Raza, estado de la mascota, historial médico o de vacunación","Historial de vacunación y compatibilidad entre las razas"
